pwg_L	pwg_key1	pwg_key2	pwg_hom	pwg_pc	pwg_gloss_snippet	rv_occurrence_count	example_location	example_form	example_lemma	geldner_text	grassmann_text
1013	ajuzwa	a/juzwa		1-0074	a/juzwa¦ ( 3. a + juzwa) adj. {%unangenehm, widrig, unheimlich%}: tama^H ṚV. 2,40,2 . 7,75,1 . sA\yam 5,77,2 .	7	2.40.2	ájuṣṭā	ájuṣṭa-	Über die Geburt dieser beiden Götter freuten sich (alle Götter); sie beseitigten die unerfreuliche Finsternis. Mit beiden, mit Soma und Pūṣan erzeugte Indra die gekochte (Milch) in den rohen Kühen.	Sie seien hold uns, die gebornen Götter, sie mögen bergen das verhasste Dunkel; Für diese beiden: Soma, Puschan, zeuge die gare Milch in rohen Kühen Indra.
93674	viSvAmitra	viSvA/mitra		6-1237	viSvA/mitra¦ (viSva + mitra) 1〉 m. VS. PRĀT. 3,101 . 5,37 . AV. PRĀT. 3,9 . P. 6,3,130 . 2,106, Vārtt. 1. 165, Vārtt. N. pr. eines berühmten Ṛṣi , mit dem patron. Gāthina ( Gādheya ), öfters zusammen mit Jamadagni genann	7	3.1.21	viśvā́mitrebhiḥ	viśvā́mitra-	Von Geschlecht zu Geschlecht eingesetzt wird der nie ermattende Jātavedas von den Viśvāmitra's entflammt. An dieses Opferwürdigen Gunst, an seinem glückbringenden Wohlwollen möchten wir teilhaben.	In jedem Haus ist Gast der Wesenkenner, ohn' End' entflammt vom Stamm des Viçvamitra; In seiner Gunst, des hehren, seien stets wir theilhaftig hohen, segensreichen Glückes.
91296	vijAvan	vijA/van		6-1023	vijA/van¦ (von jan mit vi) adj. Schol. zu P. 3,2,75 . 6,4,41 . VS. PRĀT. 5,6 . {%lieblich, eigen%}: syAnna^H sU\nustana^yo vi\jAvA^ ṚV. 3,1,23 . [Page6-1024]	7	3.1.23	vijā́vā	vijā́van-	Erziel, o Agni, Segen, den vielwirkenden Lohn einer Kuh für den am häufigsten rufenden (Sänger)! Ein leiblicher Sohn, der das Geschlecht fortpflanzt, soll uns werden. Agni, diese Gnade von dir soll uns zuteil werden!	Dem Beter schaff als Labung wunderreichen Besitz an Rindern fort und fort, o Agni, Ein eigner Sohn sei uns und Stammvermehrung, das sei uns, Agni, deine Gunsterweisung.
47068	pfTupAjas	pfTupA/jas		4-0864	pfTupA/jas¦ (pfTu + pA˚) adj. {%weit scheinend, — schimmernd%}: Agni ṚV. 3,2,11 . 3,1 . 5,1 . 27,5 . die Rosse der Uṣas 61,2 . der Wagen der Aśvin 8,5,2 . von Indra-Vāyu 4,46,5 .	7	3.2.11	pr̥thupā́jāḥ	pr̥thupā́jas-	In bunten Leibern sich fortpflanzend regt sich der Stier wie ein Löwe brüllend, der Vaiśvānara in breiter Gestalt, der Unsterbliche, der die Güter, die Schätze dem Opferspender austeilt.	Er regt sich in den Leibern Wegs bewusst, in den verschiednen brüllet löwengleich der Stier; Der Männerhort, weitschimmernd der Unsterbliche, an den Verehrer theilt er gute Schätze aus.
30150	tuvikUrmi	tuvikUrmi/		3-0371	tuvikUrmi/¦ (tu˚ + kU˚) adj. {%mächtig im Thun, thatkräftig%}: Indra ṚV. 3,30,3 . 6,22,5 . 8,2,31 . 16,8 . 57,1 . 70,2 .	7	3.30.3	tuvikūrmíḥ	tuvikūrmí-	Indra mit schönen (Trinker-)Lippen, der Gabenreiche, der Überwinder mit der großen Heerschar, der Tatenreiche, Drohende — was du, der Gewaltige, unter den Sterblichen in der Bedrängnis tatest, wo bleiben diese deine Heldentaten, du Bulle?	Der schönbehelmte mächt'ge Sieger wirket mit grosser Schar viel Thaten Indra, stürmend, Wo sind, o starker, deine Heldenkräfte, dass du, o Stier, bestürmt den Menschen Gut schenkst?
53290	brahmakft	brahmakf/t		5-0130	brahmakf/t¦ (brahman + kft) adj. {%Gebete verrichtend, Beter, Andächtiger%}: i\me hi te^ brahma\kfta^H su\te sacA\ maDO\ na makza\ Asa^te ṚV. 7,32,2 . 8,55,6 . 10 . 50,7 . 54,6 . die Marut und andere göttliche Schaaren: 	7	3.32.2	brahmakŕ̥tā	brahmakŕ̥t-	Trink, Indra, den milchgemischten, den (mit Mehl) angerührten, den klaren Soma! Wir haben (ihn) dir zum Rausche gespendet. Zusammen mit der marutischen Gefolgschaft, die (dir) eine Erbauung bereitet, mit den Rudra(söhnen) begieße dich zur Genüge!	Den milchgemischten Soma, den gequirlten, den reinen trink, den dir zum Rausch wir gaben, Mit deiner frommen Marutschar, o Indra, der Rudraschar vereinigt schwelge lustig,
3276	antarA	antarA/		1-0244	antarA/¦ (antar + A; vgl. u. antar 2,a, am Ende) gaṇa svarAdi. 1〉 adv. a〉 {%mitten inne, darin, dazwischen%} ( Gegens. bahis): a\pvAma^nta\rodarA^t (bahirni mantrayAmahe) AV. 9,13,9 . asi^Yca\dDira^RyaM lo\ke 'nta\rA 10,	7	3.40.9	antarā́	antarā́	Wenn du unterwegs in die Ferne und Nähe gerufen wirst, so komm von dort her, Indra!	Wenn zwischen Näh' und Ferne du, o Indra angerufen wirst, So komm von dort hieher zu uns.
34445	devajUta	deva/jUta		3-0743	deva/jUta¦ (deva + jUta) adj. {%gottgetrieben, — begeistert%}: indre\ saho^ de\vajU^tamiyA\nAH ṚV. 7,25,5 . fzi 3,53,9 . vAjin 10,178,1 . 145,2 . Danus AV. 5,18,8 . {%von Göttern verschafft%}: rayi ṚV. 4,11,4 . 7,84,3 .	7	3.53.9	devájūtaḥ	devájūta-	Der große gottgeborene, gotterregte R̥ṣi staute den flutenden Strom, er mit dem Herrscherauge. Als Viśvāmitra den Sudās fuhr, da hatte Indra an den Kuśika's seine Freude.	Der grosse Sänger der gottgeborene, gotterregte, die Männer beschauend, hielt den wogenden Strom auf; als Viçvamitra den Sudas überfuhr, da befreundete Indra sich mit den Kuçikern.
93924	vizuRa	vi/zuRa		6-1256	vi/zuRa¦ (von vizu) 1〉 adj. P. 5,2,100, Vārtt. 2 ( oxyt. ). NIR. 4,19 . a〉 {%verschiedenartig%}: cara^tpata\tri vizu^RaM jA\tam ṚV. 3,54,8 . ba\Brureko\ vizu^RaH sU\naro\ yuvA^ vom {%wechselnden%} Monde 8,29,1 . 7,21,5 .	7	3.54.8	víṣuṇam	víṣuṇa-	Diese beiden fassen alle Geschöpfe in sich; sie tragen die großen Götter und kommen doch nicht ins Wanken. Das Eine beherrscht alles was sich regt und was fest ist, was geht und was fliegt, das Verschiedenartige, verschieden Geborene.	Sie halten alle Wesen auseinander, sie wanken nicht, die grossen Götter tragend; Bewegtes, festes, alles hegt die eine, was geht und fliegt, das mannichfach geborne.
16601	kArin	kAri/n	2	2-0238	2. kAri/n¦ (von 2. kar) adj. {%lobsingend, jubelnd%}: vizRu\M stomA^saH puruda\smama\rkA Baga^syeva kA\riRo\ yAma^ni gman ṚV. 3,54,14 . 8,2,29 . jaye^ma kA\re kA\riRa^H 21,12 . hu\ve Bara\M na kA\riRa^m 55,1 . (daDanvire	7	3.54.14	kāríṇaḥ	kārín-	Zu Viṣṇu gehen die Loblieder, die Preisgesänge zu dem Vielmeisternden wie bei der Fahrt eines siegreichen Glückshelden. Er ist der weitschreitende Riese, dessen (Gefolge) viele Frauen sind. Nicht kommen die jungen Frauen, die Gebärerinnen zu kurz.	Zum wunderstarken Vischnu gingen preisend die Lieder, jubelnd wie auf Glückes Wegen; Der weithin schreitet, hoch, und dessen Mütter die jugendlichen, vielen, nimmer fehlen.
