
VaikhGṛS, 1, 1: 1;2 1;atha cāturāśramiṇāṁ |;
VaikhGṛS, 1, 1: 1;3 1;athāpo namaskṛtyāvagāhya yāvad amanaḥśaṅkam |;
VaikhGṛS, 1, 1: 1;4 1;athācamya kaurukṣetram iti jalaṁ namaskṛtya |;
VaikhGṛS, 1, 1: 1;5 1;aśakto nityaṁ pādau prakṣālyācamya ato devādi |;
VaikhGṛS, 1, 1: 1;6 1;atha puṇyāhaṁ pañcāvarāñchrotriyān |;
VaikhGṛS, 1, 1: 1;7 1;devā ṛṣayaḥ pitaro grahā devya ṛṣipatnyaḥ pitṛpatnyo vedā |;
VaikhGṛS, 1, 1: 1;8 1;athāgnyāyatanaṁ prākpravaṇe vottarapravaṇe vā śuddhe |;
VaikhGṛS, 1, 1: 1;9 1;athāghāravidhānaṁ brāhmaṁ prāṅmukham āsīna eto |;
VaikhGṛS, 1, 1: 1;10 1;pātrādādhāvamādāya pavitre stha iti vedyāṁ barhiṣaḥ |;
VaikhGṛS, 1, 1: 1;11 1;vāyavyāmuttarāgram ūrdhvaṁ karoti sūryastveti prācyām |;
VaikhGṛS, 1, 1: 1;12 1;bhūḥ sruvaṁ gṛhṇāmīti sruvaṁ gṛhītvā varṣiṣṭhe adhi nāka |;
VaikhGṛS, 1, 1: 1;13 1;dakṣiṇapraṇidhau brāhmeṇa tīrthena prajāpatipurogān |;
VaikhGṛS, 1, 1: 1;14 1;gāyatryā samidhaḥ prokṣyaikaviṁśatirāhutipramāṇāḥ |;
VaikhGṛS, 1, 1: 1;15 1;sruveṇājyaṁ srāvayanparidhī spṛṣṭvā |;
VaikhGṛS, 1, 1: 1;16 1;atha sāmānyataḥ kriyāyā homamantrāḥ dhātā dadātu no |;
VaikhGṛS, 1, 1: 1;17 1;imaṁ me varuṇa tattvā yāmi tvaṁ no agne sa tvaṁ no agne |;
VaikhGṛS, 1, 1: 1;18 1;ṛtāṣāḍṛtadhāmāgnir gandharvastasyauṣadhayo .psarasa |;
VaikhGṛS, 1, 1: 1;19 1;athānte homamantrāḥ yadasyāgnaye sviṣṭakṛte .gnaye |;
VaikhGṛS, 1, 1: 1;20 1;tatpātreṇādhāvamādāya |;
VaikhGṛS, 1, 1: 1;21 1;punardevebhyo havyaṁ vahetyagnerdarśanena sruvaṁ |;
VaikhGṛS, 1, 2: 2;1 1;atha śārīreṣu saṁskāreṣvṛtusaṁgamanavarjaṁ |;
VaikhGṛS, 1, 2: 2;2 1;carumapūpādi ca nivedyodakumbhaṁ |;
VaikhGṛS, 1, 2: 2;3 1;atha garbhādhānādivarṣe pañcame |;
VaikhGṛS, 1, 2: 2;4 1;brāhmaṇasya pālāśo bailvo vā keśānto nirvraṇo .numṛṣṭo |;
VaikhGṛS, 1, 2: 2;5 1;proṣṭhapadahastāv aśvinyanūrādhāpūrvottarapunarvasū |;
VaikhGṛS, 1, 2: 2;6 1;tato vidhivadācamanaṁ kārayitvā sadasyānanujñāpya |;
VaikhGṛS, 1, 2: 2;7 1;dhātādipūrvaṁ savitre kāṇḍarṣaye sadasaspatim ā devo |;
VaikhGṛS, 1, 2: 2;8 1;agniṣṭa āyuriti daṇḍamindro marudbhiriti śarāvaṁ |;
VaikhGṛS, 1, 2: 2;9 1;atha pārāyaṇavratāni caturthe pañcame saptame vā puṇye |;
VaikhGṛS, 1, 2: 2;10 1;somāya kāṇḍarṣaye sadasaspatiṁ somo dhenumaṣāḍhaṁ |;
VaikhGṛS, 1, 2: 2;11 1;tathaiva dhātādivratavisargaṁ hutvā brāhmavrataṁ visṛjya |;
VaikhGṛS, 1, 2: 2;12 1;athāṣāḍhopākarma kuryād āpūryamāṇapakṣe riktāparvaṇī |;
VaikhGṛS, 1, 2: 2;13 1;atha samāvartanaṁ vyākhyāsyāma udagayana |;
