Hārāṇacandara on Suśr zu Su, Sū., 15, 23.3: 1;1 1;kutaḥ khalvidaṁ kṣīyate yena śarīrāṇi śīryanta ityāha |;
Hārāṇacandara on Suśr zu Su, Sū., 15, 23.3: 1;2 1;kṣayād atiramaṇādinā dhātvapacayāt ||;
Hārāṇacandara on Suśr zu Su, Sū., 15, 23.3: 1;3 1;nanvevaṁ cettattvaṁ kathaṁ tarhyebhirhetubhirupataptāḥ |;
Hārāṇacandara on Suśr zu Su, Sū., 15, 23.3: 1;4 1;sarvaṁ vākyaṁ sāvadhāraṇamiti nyāyāt ||;
Hārāṇacandara on Suśr zu Su, Sū., 15, 23.3: 1;5 1;ebhyo .bhighātādibhya evetyarthaḥ ||;
Hārāṇacandara on Suśr zu Su, Sū., 15, 23.3: 1;6 1;hi yasmāt ||;
Hārāṇacandara on Suśr zu Su, Sū., 15, 23.3: 1;7 1;tejaḥ sarvadhātūnāṁ dīpto.ṁśa oja iti niṣkarṣaḥ vāyunā |;
Hārāṇacandara on Suśr zu Su, Sū., 15, 23.3: 1;8 1;etenaujasaḥ kṣaye mriyate mūlasthānātpracyāvite tu |;
Hārāṇacandara on Suśr zu Su, Sū., 15, 23.3: 1;9 1;vakṣyati ca kriyāsaṁnirodhaśca visraṁse iti hārāṇacandraḥ |;
Hārāṇacandara on Suśr zu Su, Sū., 15, 23.3: 1;10 1;dhātavo gṛhyante yaistāni dhātugrahaṇāni srotāṁsi |;
Hārāṇacandara on Suśr zu Su, Sū., 15, 23.3: 1;11 1;kiṁvā dhātugrahaṇasrotaḥsthānatayā dhātugrahaṇaṁ |;
Hārāṇacandara on Suśr zu Su, Śār., 5, 11.1: 2;1 1;bimbaḥ sacchidraṁ trikāsthi ucyate ||;
