DevīĀgama, 1: 1;1 1;sarveṣāmapi muktyarthaṁ muktimārgasya darśanam |;
DevīĀgama, 1: 1;1 2;deveśa jñānamācāraṁ kṛpayā kathayasva me ||;
DevīĀgama, 1: 1;2 1;īśvara uvāca |;
DevīĀgama, 1: 1;2 2;jñānācārau varārohe kathayāmi tavādhunā |;
DevīĀgama, 1: 1;2 3;praviśanti yato mokṣaṁ jñānino dhvastakalmaṣam ||;
DevīĀgama, 1: 1;3 1;yeṣāṁ bodhena saṁjātaṁ kālajñānaṁ varānane |;
DevīĀgama, 1: 1;3 2;na teṣāṁ jāyate bodhaḥ śāstrakoṭiśatairapi ||;
DevīĀgama, 1: 1;4 1;ato hi nirbhayo vidvān niḥśaṅko vigataspṛhaḥ |;
DevīĀgama, 1: 1;4 2;jñānotsāhaparo bhūyāt śraddadhāno nirākulaḥ ||;
DevīĀgama, 1: 1;5 1;nirmamaḥ karuṇopetaḥ sarvabhūtābhayapradaḥ |;
DevīĀgama, 1: 1;5 2;bhajet kālottaraṁ devi mumukṣuryogatatparaḥ ||;
DevīĀgama, 1: 1;6 1;sa brahmā sa śivo viṣṇuḥ sa indraḥ sa ṣaḍānanaḥ |;
DevīĀgama, 1: 1;6 2;sa guruḥ sarvadevāśca sa yogī sa tapodhanaḥ ||;
DevīĀgama, 1: 1;7 1;paṇḍitaḥ sa mahābhāgaḥ kṛtārthaḥ paramārthataḥ |;
DevīĀgama, 1: 1;7 2;caladvāyusamaṁ cittaṁ dhriyate yena niścalam ||;
DevīĀgama, 1: 1;8 1;sa upāyo mimokṣasya sadupāttaguṇastu saḥ |;
DevīĀgama, 1: 1;8 2;sā prajñā tadiha sthairyaṁ tatpuṇyaṁ vyavasāyinām ||;
DevīĀgama, 1: 1;9 1;tadeva tīrthaṁ dānaṁ ca sa tapaśca na saṁśayaḥ |;
DevīĀgama, 1: 1;9 2;yenopāyena badhyeta vāyubhiścalanaṁ manaḥ ||;
DevīĀgama, 1: 1;10 1;citte calati saṁsāro niścalo mokṣa eva tu |;
DevīĀgama, 1: 1;10 2;tasmāccittaṁ sthiraṁ kuryāt prajñayā parayā budhaḥ ||;
DevīĀgama, 1: 1;11 1;ekāntikaṁ sukhaṁ yatra tathāivātyantikaṁ bhavet |;
DevīĀgama, 1: 1;11 2;niṣkarmaṇi pare tattve ko na rajyeta paṇḍitaḥ ||;
DevīĀgama, 1: 1;12 1;nivṛtto viṣayajñānāt niṣkalajñānatatparaḥ |;
DevīĀgama, 1: 1;12 2;anicchannapi medhāvī labhate mokṣamakṣayam ||;
DevīĀgama, 1: 1;13 1;asmitākalayā yuktaṁ caitanyaṁ sakalaṁ smṛtam |;
DevīĀgama, 1: 1;13 2;asmitārahitaṁ cetaś caitanyaṁ śaktirucyate ||;
DevīĀgama, 1: 1;14 1;tathā prakāśitaṁ viśvaṁ śaktidhyānamudāhṛtam |;
DevīĀgama, 1: 1;14 2;sarvālambavinirmuktaṁ niṣkalaṁ jñānamucyate ||;
DevīĀgama, 1: 1;15 1;ahamaṁśena yacchūnyaṁ cinmātrālokamadvayam |;
DevīĀgama, 1: 1;15 2;muktibījaṁ tadākhyātaṁ parayogapravartakam ||;
DevīĀgama, 1: 1;16 1;cakrāṇi nāḍayaḥ padmadevatābījamaṇḍalam |;
DevīĀgama, 1: 1;16 2;rūpamityādikaṁ kiṁcid dhyeyaṁ naiva kadācana ||;
DevīĀgama, 1: 1;17 1;kuhakaṁ mantrajālaṁ ca prāṇāyāmādi dhāraṇam |;
DevīĀgama, 1: 1;17 2;sarvametanna kartavyaṁ mokṣamakṣayamicchatā ||;
DevīĀgama, 1: 1;18 1;nātra pūjā namaskāro na japo dhyānameva ca |;
DevīĀgama, 1: 1;18 2;kevalaṁ jñānamityuktaṁ veditavyaṁ na kiṁcana ||;
DevīĀgama, 1: 1;19 1;bahirāhitacittānāṁ jāyante bandhahetavaḥ |;
DevīĀgama, 1: 1;19 2;bahiścittaṁ nivāryaiva vindan loke na sīdati ||;
DevīĀgama, 1: 1;20 1;nātra kiṁcidbahirnāntaṁ na madhyaṁ nāpyadhaḥ kvacit |;
DevīĀgama, 1: 1;20 2;sarvākāraṁ nirākāraṁ svasaṁvedyaṁ virājate ||;
DevīĀgama, 1: 1;21 1;yadyadālokya yo jantuḥ kurute karmasañcayam |;
DevīĀgama, 1: 1;21 2;tadgatirjāyate yasmān nirālokaṁ tu cintayet ||;
DevīĀgama, 1: 1;22 1;heturnāsti phalaṁ nāsti nāsti karma svabhāvataḥ |;
DevīĀgama, 1: 1;22 2;asadbhūtamidaṁ sarvaṁ nāsti loko na laukikaḥ ||;
DevīĀgama, 1: 1;23 1;nirālambamidaṁ sarvaṁ nirālambaprakāśitam |;
DevīĀgama, 1: 1;23 2;nirālambamidaṁ kṛtvā nirālambo bhaviṣyati ||;
DevīĀgama, 1: 1;24 1;vyomākāraṁ mahāśūnyaṁ vyāpakaṁ yo na bhāvayet |;
DevīĀgama, 1: 1;24 2;saṁsārī sa bhavelloke bījakośakrimiryathā ||;
DevīĀgama, 1: 1;25 1;jñānotpattinimittaṁ tu kriyāścaryāḥ prakīrtitāḥ |;
DevīĀgama, 1: 1;25 2;yogaṁ sālambanaṁ tyaktvā niṣprapañcaṁ vicintayet ||;
DevīĀgama, 1: 1;26 1;pātālāt śaktiparyantaṁ sarvametadabhīpsitam |;
DevīĀgama, 1: 1;26 2;bhagnaṁ yaiḥ śūnyamantreṇa te smṛtāḥ śūnyavedinaḥ ||;
DevīĀgama, 1: 1;27 1;viṣaye lolupaṁ cittaṁ markaṭādapi cañcalam |;
DevīĀgama, 1: 1;27 2;sarvaśūnyapade sthitvā tato nirvāṇameṣyati ||;
DevīĀgama, 1: 1;28 1;sarvatattvādyasaṁbhinnaṁ dehād bhinnaṁ tathaiva ca |;
DevīĀgama, 1: 1;28 2;ahamasmādyasambhinnaṁ caitanyaṁ sarvatomukham ||;
DevīĀgama, 1: 1;29 1;ākāśamiva sarvaṁ tu sabāhyābhyantaraṁ priye |;
DevīĀgama, 1: 1;29 2;parānandamarūpaṁ tu paśyannānandabhāgbhavet ||;
DevīĀgama, 1: 1;30 1;nirindhano yathā vahniḥ svayameva praśāmyati |;
DevīĀgama, 1: 1;30 2;grāhyābhāvānmanastadvat svayameva pralīyate ||;
DevīĀgama, 1: 1;31 1;mohikā mūrchikā māyā svapnaśceti caturvidhaḥ |;
DevīĀgama, 1: 1;31 2;suṣuptirjāgṛtiścaiva sarvametat parityajet ||;
DevīĀgama, 1: 1;32 1;dehāt sūkṣmagatāt prāṇāccittād buddherahaṅkṛteḥ |;
DevīĀgama, 1: 1;32 2;sarvasmādbhinna evāhaṁ cintayan labhate citam ||;
DevīĀgama, 1: 1;33 1;sadābhibhūtaye cittaṁ nidrayā smaraṇādinā |;
DevīĀgama, 1: 1;33 2;bodhayitvā prayatnena kuryāt svasthaṁ punaḥ punaḥ ||;
DevīĀgama, 1: 1;34 1;yadā sthiraṁ bhaveccittaṁ cālayanna kathaṁcana |;
DevīĀgama, 1: 1;34 2;na kiṁciccintayet tatra sthirameva tu kārayet ||;
DevīĀgama, 1: 1;35 1;āśrayālambanaṁ cittaṁ tadvat kuryānnirāśrayam |;
DevīĀgama, 1: 1;35 2;cañcalaṁ niścalaṁ kuryāt niścalaṁ na tu cālayet ||;

DevīĀgama, 1: 1;37 1;tadeva janmasāphalyaṁ pāṇḍityamidameva hi |;
DevīĀgama, 1: 1;37 2;caladvāyusamaṁ cittaṁ niścalaṁ dhriyate hi yat ||;
DevīĀgama, 1: 1;38 1;naivordhvaṁ dhārayeccittaṁ na madhyaṁ nāpyadhaḥ antarbhāvavinirmuktaṁ sadā kuryānnirāśrayam ||;
DevīĀgama, 1: 1;39 1;nidrāyāṁ bodhayeccittaṁ vikṣiptaṁ śamayet punaḥ |;
DevīĀgama, 1: 1;39 2;pakṣadvayaparityāge samprāpte naiva cālayet ||;
DevīĀgama, 1: 1;40 1;nirāśrayaṁ sadā cittaṁ sarvālambanavarjitam |;
DevīĀgama, 1: 1;40 2;mano.vasthāvinirmuktaṁ vijñeyaṁ muktilakṣaṇam ||;
DevīĀgama, 1: 1;41 1;sarvālambanaśūnyaṁ ca dhārayitvā mano hṛdi |;
DevīĀgama, 1: 1;41 2;yajjñānaṁ jāyate spaṣṭaṁ tadabhyāsaparo bhavet ||;
DevīĀgama, 1: 1;42 1;ye dhyāyanti paraṁ śūnyaṁ niṣkalaṁ niravasthitam |;
DevīĀgama, 1: 1;42 2;te yānti paramaṁ sthānaṁ janmamṛtyuvivarjitam ||;
DevīĀgama, 1: 1;43 1;devā devyastathā cānye dharmādharmau ca tatphalam |;
DevīĀgama, 1: 1;43 2;āśrayāśrayivijñānaṁ saṁsārasya ca bandhanam ||;
DevīĀgama, 1: 1;44 1;āśrayo dvandvamityuktaṁ dvandvatyāgāt parodayaḥ |;
DevīĀgama, 1: 1;44 2;jīvanmuktastadā yogī dehatyāgād vimucyate ||;
DevīĀgama, 1: 1;45 1;vairāgyeṇa vapustyāgo na vai kāryo manīṣiṇā |;
DevīĀgama, 1: 1;45 2;ārambhataḥ kriyānāśe svayameva vipatsyate ||;
DevīĀgama, 1: 1;46 1;hṛtsaroje hyahaṁrūpā yā citirnirmalācalā |;
DevīĀgama, 1: 1;46 2;ahaṅkāraparityāgāt sā citirmokṣadāyinī ||;
DevīĀgama, 1: 1;47 1;sarvopādhivinirmuktaṁ cidrūpaṁ yannirantaram |;
DevīĀgama, 1: 1;47 2;tacchivo .hamiti dhyātvā sarvāsaktiṁ visarjayet ||;
DevīĀgama, 1: 1;48 1;deśajātyādisambaddhān varṇāśramasamanvitān |;
DevīĀgama, 1: 1;48 2;bhāvānetān parityajya svabhāvaṁ bhāvayedbudhaḥ ||;
DevīĀgama, 1: 1;49 1;ahameko na me kaścin nāhamanyasya kasyacit |;
DevīĀgama, 1: 1;49 2;na taṁ paśyāmi yasyāhaṁ taṁ na paśyāmi yo mama ||;
DevīĀgama, 1: 1;50 1;ahameva paraṁ brahma jagannātho maheśvaraḥ |;
DevīĀgama, 1: 1;50 2;iti syānniścito mukto baddhaḥ syādanyathā pumān ||;
DevīĀgama, 1: 1;51 1;aśarīraṁ yadātmānaṁ paśyati jñānacakṣuṣā |;
DevīĀgama, 1: 1;51 2;tadā bhavati śāntātmā sarvato vigataspṛhaḥ ||;
DevīĀgama, 1: 1;52 1;yo .sau sarveṣu śāstreṣu paṭhyate hyaja īśvaraḥ |;
DevīĀgama, 1: 1;52 2;akāyo nirguṇo hyātmā so .hamasmi na saṁśayaḥ ||;
DevīĀgama, 1: 1;53 1;vijñāptimātro hi sadā viśuddhaḥ sarvatra yasmātsatataṁ nādeyaheyo hyahamapratarkyas tasmātsadā brahmamayo |;
DevīĀgama, 1: 1;54 1;ā mastakaṁ pādatalāvasānaṁ tatkṛtsnamevāmṛtarūpamanyac |;

DevīĀgama, 1: 1;56 1;brahmādibhirdevamanuṣyanāgair yajñairanekairahameva pūjyo māmeva sarve pratipūjayanti |;
