Cakra ? on Suśr zu Su, Sū., 7, 13.1: 1;1 1;ataśca staraṇadeśasaṁ nāḍīvanmadhyaśuṣirāṇi |;
Cakra ? on Suśr zu Su, Sū., 24, 8.1: 2;1 1;mūlamiti kāraṇam ||;Āyurvedadīpikā ĀVDīp zu Ca, 1, Cik., 4, 5: 343 2;mūlamiti kāraṇam ||;GOOD;;Āyurvedadīpikā ĀVDīp zu Ca, Śār., 1, 97.2: 247 1;paro hetur iti mūlakāraṇam ||;GOOD;;Āyurvedadīpikā ĀVDīp zu Ca, Sū., 26, 9.3: 44 29;prakṛtau kāraṇe jala ityarthaḥ ||;PARTLY;+ mūla - artha;Āyurvedadīpikā ĀVDīp zu Ca, Sū., 1, 18.1: 4 3;mūlaṁ kāraṇam ||;PARTLY;+ iti - sāmya;Āyurvedadīpikā ĀVDīp zu Ca, Sū., 28, 7.9: 127 3;rogaprakṛtaya iti rogakāraṇāni ||;PARTLY;+ mūla - roga;Āyurvedadīpikā ĀVDīp zu Ca, Sū., 28, 38.2: 143 6;tanmūlā iti rajastamomūlāḥ ||;PARTLY;+ kāraṇa - tamas;Āyurvedadīpikā ĀVDīp zu Ca, Śār., 1, 15.2: 202 6;prabhavatyasmād iti prabhavaḥ kāraṇam ||;PARTLY;+ mūla - prabhava;Āyurvedadīpikā ĀVDīp zu Ca, Vim., 8, 7.2: 200 11;ityadhyayanavidhiriti upasaṁharaṇam ||;PARTLY;+  - upasaṁharaṇa;Āyurvedadīpikā ĀVDīp zu Ca, Śār., 1, 137.2: 269 6;mokṣapravartaka iti mokṣakāraṇam ||;PARTLY;+ mūla - mokṣa;Divyāvadāna Divyāv, 13: 13 182;nūnamatra kāraṇena bhavitavyamiti ||;PARTLY;+ mūla - bhū;Gopathabrāhmaṇa NEW GB, 1, 2, 2: 41 23;iti veti vā mukhaṁ viparidhāpayet ||;PARTLY;+  - viparidhāpay;Mṛgendraṭīkā MṛgṬīkā zu MṛgT, Vidyāpāda, 9, 6.2: 165 3;nahi paramakāraṇāni bahulībhavantīti ||;PARTLY;+ mūla - bahulībhū;Nibandhasaṁgraha NiSaṁ zu Su, Cik., 29, 12.32: -1 16;eveti ityatra anutsvādayan ||;PARTLY;+  - anutsvādayat;Nibandhasaṁgraha NiSaṁ zu Su, Sū., 1, 24.1: -1 4;ityāha prākkila vyālā iti vyākhyātāḥ ||;PARTLY;+  - prāñc;Pañcārthabhāṣya PABh zu PāśupSūtra, 1, 43: 44 2;sva iti kāraṇāpadeśe ||;PARTLY;+ mūla - apadeśa;Pañcārthabhāṣya PABh zu PāśupSūtra, 4, 24: 122 4;rudra iti kāraṇāpadeśe ||;PARTLY;+ mūla - apadeśa;Pañcārthabhāṣya PABh zu PāśupSūtra, 5, 8: 130 1;tatra rudra iti kāraṇāpadeśe ||;PARTLY;+ mūla - apadeśa;Pañcārthabhāṣya PABh zu PāśupSūtra, 5, 23: 145 1;atra ata iti kāraṇāpadeśe ||;PARTLY;+ mūla - apadeśa;Pañcārthabhāṣya PABh zu PāśupSūtra, 5, 37: 159 6;rudre iti kāraṇāpadeśe ||;PARTLY;+ mūla - apadeśa;Rasādhyāyaṭīkā RAdhyṬ zu RAdhy, 237.2: 46 6;iti vyoṣarājiḥ kāṁsyarājir ityarthaḥ ||;PARTLY;+  - artha;Rasaratnasamuccayabodhinī RRSBoṬ zu RRS, 10, 31.2: 162 2;vartulā mūlād ūrdhvamiti bodhyam ||;PARTLY;+ kāraṇa - budh;Śāṅkhāyanāraṇyaka ŚāĀr, 5, 3: 51 11;ityevaṁ hi paśyāma iti ||;PARTLY;+  - dṛś;Vaiśeṣikasūtra VaiśSū, 5, 2: 10 28;kāraṇena kāla iti ||;PARTLY;+ mūla - kāla;Vaiśeṣikasūtra VaiśSū, 7, 1: 13 32;kāraṇena kāla iti ||;PARTLY;+ mūla - kāla;Vaiśeṣikasūtra VaiśSū, 7, 2: 14 26;kāraṇaparatvāt kāraṇāparatvācca ||;PARTLY;+  - ca;Vaiśeṣikasūtra VaiśSū, 10: 17 12;kāraṇamiti dravye kāryasamavāyāt ||;PARTLY;+ mūla - samavāya;Vaiśeṣikasūtravṛtti VaiSūVṛ zu VaiśSū, 9, 20.1: 310 2;heturapadeśaḥ kāraṇamityarthaḥ ||;PARTLY;+ mūla - artha;Yogasūtrabhāṣya YSBhā zu YS, 4, 3.1: 118 2;na kāryeṇa kāraṇaṁ pravartate iti ||;PARTLY;+ mūla - pravṛt;
Cakra ? on Suśr zu Su, Sū., 24, 8.1: 2;2 1;āgantukāraṇe mānase ca kathaṁ vātādimūlatvamityāha |;
Cakra ? on Suśr zu Su, Sū., 24, 8.1: 2;3 1;āgantāvapi hi vātādiliṅgaṁ śarīrakṣobhādavaśyaṁ bhavati |;
Cakra ? on Suśr zu Su, Sū., 24, 8.1: 2;4 1;mānase.pi kāmādau doṣakopo bhavatyeva yaduktaṁ |;
Cakra ? on Suśr zu Su, Sū., 24, 8.1: 2;5 1;dṛṣṭaphalatvāditi vātādikriyayā sarvavikāreṣu |;
Cakra ? on Suśr zu Su, Sū., 24, 8.1: 2;6 1;āgantāvapi kālānubandhāddoṣakriyayā phalaṁ bhavati ||;
Cakra ? on Suśr zu Su, Sū., 24, 8.1: 2;7 1;āgamācceti nāsti rogo vinā doṣair ityādi carake .pyuktaṁ |;
Cakra ? on Suśr zu Su, Sū., 24, 8.1: 2;8 1;atra dṛṣṭāntamāha yathetyādi ||;Āyurvedadīpikā ĀVDīp zu Ca, Śār., 1, 49.2: 224 4;atraiva dṛṣṭāntamāha kartā hītyādi ||;PARTLY;+ yathā - hi;Sarvāṅgasundarā SarvSund zu AHS, Sū., 9, 18.1: 23 8;atra dṛṣṭāntam āha vyaktāvyaktam ityādi ||;PARTLY;+ yathā - avyakta;
Cakra ? on Suśr zu Su, Sū., 24, 8.1: 2;9 1;vikārajātamiti mahadādīni sapta ekādaśendriyāṇi |;
