text,tokens,wordsem_tokens,treebank_tokens,ismantra_tokens,only_2026
Abhidharmakośa,1091,1,17,0,
Abhidharmakośabhāṣya,118,0,0,0,
Abhidhānacintāmaṇi,4471,734,0,0,
Abhinavacintāmaṇi,2604,14,0,0,
Acintyastava,910,2,0,0,
Agastīyaratnaparīkṣā,608,54,0,0,
Agnipurāṇa,8363,390,0,0,
Aitareya-Āraṇyaka,10283,0,2084,1121,yes
Aitareyabrāhmaṇa,55243,2454,15679,5013,
Aitareyopaniṣad,848,1,848,0,
Amarakośa,11968,2020,0,0,
Amaraughaśāsana,1020,16,0,0,
Amaruśataka,3221,77,0,0,
Amṛtabindūpaniṣat,97,16,0,0,
Arthaśāstra,20415,469,2782,0,
Atharvaprāyaścittāni,7848,4,741,0,
Atharvaveda (Paippalāda),31212,6403,8094,0,yes
Atharvaveda (Śaunaka),71249,1949,14782,7,
Atharvavedapariśiṣṭa,1695,0,0,0,
Avadānaśataka,19890,259,31,0,
Ayurvedarasāyana,4113,26,0,0,
Aṣṭasāhasrikā,43457,515,0,0,
Aṣṭādhyāyī,15455,15341,0,0,
Aṣṭāvakragīta,4572,46,0,0,
Aṣṭāṅgahṛdayasaṃhitā,107515,6477,14,0,
Aṣṭāṅganighaṇṭu,4477,849,0,0,
Aṣṭāṅgasaṃgraha,2187,80,0,0,
Baudhāyanadharmasūtra,14751,11,1041,338,
Baudhāyanagṛhyasūtra,14999,6,487,0,
Baudhāyanaśrautasūtra,39205,32,6382,10558,
Bhadrabāhucarita,210,1,0,0,
Bhairavastava,204,2,0,0,
Bhallaṭaśataka,2810,43,0,0,
Bhramarāṣṭaka,216,0,0,0,
Bhāgavatapurāṇa,77801,2035,0,0,
Bhāradvājagṛhyasūtra,11643,0,0,0,
Bhāradvājaśrautasūtra,22148,0,2303,3285,yes
Bhāratamañjarī,85655,1484,14,0,
Bhāvaprakāśa,13064,7726,0,0,
Bodhicaryāvatāra,13770,579,0,0,
Brahmabindūpaniṣat,322,18,0,0,
Buddhacarita,19065,219,1102,0,
Bījanighaṇṭu,774,46,0,0,
Bṛhadāraṇyakopaniṣad,19014,1624,8417,1042,
Bṛhatkathāślokasaṃgraha,62202,1570,0,0,
Carakasaṃhitā,94852,2666,36,0,
Carakatattvapradīpikā,121,0,0,0,
Caurapañcaśikā,1183,11,0,0,
Chāndogyopaniṣad,15905,207,7072,66,
Commentary on Amaraughaśāsana,673,0,0,0,
Commentary on the Kādambarīsvīkaraṇasūtramañjarī,1902,15,0,0,
Commentary on the Kāvyālaṃkāravṛtti,398,0,0,0,yes
Daśakumāracarita,35188,477,0,0,
Devīkālottarāgama,1263,13,0,0,
Devīmāhātmya,192,0,0,0,
Dhanurveda,3140,84,0,0,
Dhanvantarinighaṇṭu,6939,1403,0,0,
Divyāvadāna,67449,1292,0,0,
Drāhyāyaṇaśrautasūtra,10724,0,1435,0,yes
Garbhopaniṣat,559,212,0,0,
Garuḍapurāṇa,75739,796,0,0,
Gautamadharmasūtra,5696,112,1744,0,
Gaṇakārikā,95,2,0,0,
Gheraṇḍasaṃhitā,5381,38,0,0,
Gobhilagṛhyasūtra,7399,1,2735,784,
Gokarṇapurāṇasāraḥ,14697,376,0,0,
Gopathabrāhmaṇa,30459,74,3615,1308,
Gorakṣaśataka,1469,34,0,0,
Gītagovinda,6020,186,0,0,
Gūḍhārthadīpikā,4822,4396,0,0,
Gṛhastharatnākara,1542,9,0,0,
Haribhaktivilāsa,28884,119,0,0,
Harivaṃśa,85975,0,0,0,yes
Harṣacarita,33503,0,0,0,
Haṃsadūta,3906,21,0,0,
Haṃsasaṃdeśa,1631,7,0,0,
Haṭhayogapradīpikā,5659,111,11,0,
Hiraṇyakeśigṛhyasūtra,10383,2,2425,3550,
Hiraṇyakeśiśrautasūtra,831,0,0,0,yes
Hitopadeśa,25040,216,0,0,
Indu (ad AHS),18,16,0,0,
Jaiminigṛhyasūtra,7109,26,1829,1715,
Jaiminīya-Upaniṣad-Brāhmaṇa,22367,0,4893,384,yes
Jaiminīyabrāhmaṇa,53735,61,4955,1326,
Jaiminīyaśrautasūtra,4088,0,0,0,yes
Janmamaraṇavicāra,3259,16,0,0,
Kaiyadevanighaṇṭu,1826,1758,0,0,
Kathāsaritsāgara,111298,1687,0,0,
Kauśikasūtra,22833,88,1699,3265,
Kauśikasūtradārilabhāṣya,522,0,0,0,
Kauśikasūtrakeśavapaddhati,313,0,0,0,yes
Kauṣītakagṛhyasūtra,641,0,0,0,yes
Kauṣītakibrāhmaṇa,15331,0,4009,0,yes
Kauṣītakyupaniṣad,864,4,272,0,
Kaṭhopaniṣad,2129,46,0,108,
Kaṭhāraṇyaka,5961,0,1205,0,yes
Khādiragṛhyasūtra,3358,1,2480,412,
Kirātārjunīya,18439,393,0,0,
Kokilasaṃdeśa,4640,54,0,0,
Kumārasaṃbhava,10261,146,0,0,
Kādambarīsvīkaraṇasūtramañjarī,266,9,0,0,
Kālikāpurāṇa,4093,380,0,0,
Kāmasūtra,18909,1238,30,0,
Kātyāyanasmṛti,14317,112,0,0,
Kātyāyanaśrautasūtra,12528,0,2527,1068,
Kāvyādarśa,4462,57,0,0,
Kāvyālaṃkāra,5593,158,0,0,
Kāvyālaṃkāravṛtti,71,3,0,0,
Kāśikāvṛtti,2875,436,0,0,
