lemma_id,lemma,grammar,rank_2021,rank_2026,freq_2021,freq_2026,per10k_2021,per10k_2026,delta_per10k
12243,karman,n,51,52,8625,9938,18.84,17.471,-1.37
157262,brū,6. P.,54,53,7948,9781,17.362,17.195,-0.167
114356,sva,adj,53,54,8043,9459,17.569,16.629,-0.941
156124,ah,1. P.,68,55,5988,9447,13.08,16.607,3.527
158058,vid,1. Ā.,65,56,6232,9391,13.613,16.509,2.896
163234,para,pron,50,57,8813,9370,19.251,16.472,-2.779
166282,tri,nr,63,58,6750,9312,14.745,16.37,1.625
157340,sthā,1. Ā.,55,59,7854,9268,17.156,16.293,-0.864
156584,jan,4. P.,58,60,7377,9247,16.114,16.256,0.142
73227,yat,ind,108,61,3938,9083,8.602,15.968,7.365
71929,rūpa,n,61,62,7308,8869,15.964,15.591,-0.372
157282,han,8. P.,59,63,7372,8744,16.103,15.372,-0.732
166401,enad,pron,121,64,3721,8521,8.128,14.98,6.851
169970,ha,ind,129,65,3596,8223,7.855,14.456,6.601
72936,yajña,m,119,66,3743,8205,8.176,14.424,6.248
94899,pitṛ,m,67,67,6078,8158,13.277,14.341,1.065
22761,kāla,m,60,68,7361,8154,16.079,14.334,-1.745
96104,tadā,ind,56,69,7650,8123,16.711,14.28,-2.431
164309,kaścit,pron,57,70,7381,7977,16.123,14.023,-2.1
154315,bala,mn,62,71,7241,7854,15.817,13.807,-2.01
7442,atra,ind,66,72,6122,7482,13.373,13.153,-0.22
36096,manas,n,73,73,5528,7226,12.075,12.703,0.628
203521,tasmāt,ind,128,74,3598,7212,7.859,12.678,4.819
66339,ratha,m,64,75,6437,7091,14.061,12.466,-1.595
13752,kāma,m,78,76,5166,7075,11.285,12.438,1.153
156232,grah,4. P.,96,77,4302,7073,9.397,12.434,3.037
105774,saha,ind,71,78,5704,6964,12.46,12.242,-0.217
63959,iha,ind,72,79,5697,6847,12.445,12.037,-0.408
157422,yaj,2. P.,339,80,1877,6755,4.1,11.875,7.775
144647,puruṣa,m,77,81,5208,6563,11.376,11.537,0.161
73699,yadi,ind,85,82,4701,6499,10.269,11.425,1.156
157629,hu,3. Ā.,379,83,1646,6418,3.596,11.283,7.687
154076,phala,n,69,84,5977,6387,13.056,11.228,-1.828
149177,brahman,m,82,85,5007,6240,10.937,10.97,0.032
145625,pūrva,pron,93,86,4393,6148,9.596,10.808,1.212
124503,guṇa,mn,70,87,5780,6053,12.626,10.641,-1.985
116433,śata,mn,83,88,4789,6046,10.461,10.629,0.168
163158,prāp,"1.P.,5.Ā.,4.P.,5.P.",75,89,5288,6022,11.551,10.586,-0.965
163742,adas,pron,105,90,3975,5996,8.683,10.541,1.858
149743,brāhmaṇa,m,88,91,4556,5958,9.952,10.474,0.522
157298,yuj,1. P.,79,92,5142,5933,11.232,10.43,-0.802
203679,tā,f,76,93,5284,5919,11.542,10.405,-1.137
166386,go,mf,95,94,4319,5821,9.434,10.233,0.799
166107,sama,pron,74,95,5400,5763,11.796,10.131,-1.665
213041,ā,ind,145,96,3267,5743,7.136,10.096,2.96
156090,prāṇa,m,140,97,3285,5692,7.176,10.006,2.831
157263,yā,2. Ā.,80,98,5077,5649,11.09,9.931,-1.159
100106,soma,m,187,99,2840,5626,6.204,9.89,3.687
167009,ap,m,215,100,2583,5533,5.642,9.727,4.084
76023,vāc,f,155,101,3128,5501,6.833,9.671,2.838
166283,dvi,nr,116,102,3784,5480,8.266,9.634,1.368
154412,bahu,adj,86,103,4668,5432,10.197,9.549,-0.648
39042,ṛṣi,m,84,104,4714,5352,10.297,9.409,-0.889
92688,paśu,m,329,105,1933,5296,4.222,9.31,5.088
111378,sahasra,mn,100,106,4134,5224,9.03,9.184,0.153
48483,bhagavant,m,91,107,4488,5188,9.804,9.12,-0.683
213150,u,ind,463,108,1417,5143,3.095,9.041,5.946
136827,mukha,n,112,109,3836,5102,8.379,8.969,0.59
44242,nara,m,81,110,5011,5101,10.946,8.967,-1.979
11658,anta,m,109,111,3936,5079,8.598,8.929,0.331
33528,nāma,ind,97,112,4227,5067,9.233,8.908,-0.326
44133,namas,n,114,113,3814,5063,8.331,8.901,0.569
157151,jñā,4. Ā.,89,114,4551,5041,9.941,8.862,-1.079
96401,tapas,n,94,115,4390,4968,9.59,8.734,-0.856
55629,uttama,adj,103,116,4097,4922,8.949,8.653,-0.297
165692,pañcan,adj,122,117,3717,4859,8.119,8.542,0.423
73233,yatra,ind,113,118,3829,4833,8.364,8.496,0.132
65008,yoga,m,90,119,4526,4779,9.887,8.401,-1.485
156131,iṣ,1. P.,99,120,4191,4754,9.155,8.357,-0.797
157390,paś,4. Ā.,164,121,3058,4732,6.68,8.319,1.639
90071,doṣa,mn,87,122,4559,4705,9.959,8.271,-1.687
157294,man,1. Ā.,102,123,4115,4697,8.989,8.257,-0.732
163231,catur,nr,153,124,3179,4670,6.944,8.21,1.265
25207,bhūta,mn,98,125,4196,4653,9.166,8.18,-0.986
159723,āgam,"6.P.,1.P.,1.Ā.",115,126,3787,4640,8.272,8.157,-0.115
20377,anna,n,182,127,2891,4639,6.315,8.155,1.84
157327,dhā,1. P.,292,128,2168,4571,4.736,8.036,3.3
137432,muni,m,92,129,4401,4550,9.614,7.999,-1.615
16405,parama,adj,101,130,4126,4512,9.013,7.932,-1.081
163749,pati,m,135,131,3427,4489,7.486,7.891,0.406
153185,priya,adj,118,132,3768,4451,8.231,7.825,-0.406
40462,śrī,f,111,133,3837,4422,8.382,7.774,-0.608
150748,prajā,f,278,134,2219,4379,4.847,7.698,2.851
139262,viśva,pron,194,135,2814,4365,6.147,7.673,1.527
102548,strī,f,120,136,3737,4304,8.163,7.566,-0.597
83387,tejas,n,134,137,3472,4294,7.584,7.549,-0.036
170120,mā,ind,211,138,2645,4260,5.778,7.489,1.711
149176,brahman,n,195,139,2806,4235,6.129,7.445,1.316
116797,śara,m,104,140,4026,4188,8.794,7.362,-1.432
158167,smṛ,1. Ā.,107,141,3964,4142,8.659,7.281,-1.378
167498,vat,ind,117,142,3769,4125,8.233,7.252,-0.981
52879,ja,adj,110,143,3917,4118,8.556,7.239,-1.317
87452,jana,m,132,144,3519,4096,7.687,7.201,-0.486
166083,saptan,adj,141,145,3281,4083,7.167,7.178,0.011
156588,ji,9. P.,146,146,3265,4082,7.132,7.176,0.044
168377,div,m,222,147,2542,4067,5.553,7.15,1.597
157391,pā,1. Ā.,133,148,3487,4063,7.617,7.143,-0.474
166143,vīra,m,131,149,3532,4057,7.715,7.132,-0.583
6823,atas,ind,150,150,3217,4039,7.027,7.1,0.073
75767,vāta,m,125,151,3634,4037,7.938,7.097,-0.841
68470,vana,n,123,152,3656,4029,7.986,7.083,-0.903
150027,pṛthivī,f,235,153,2494,4028,5.448,7.081,1.633
156249,car,1. Ā.,165,154,3055,4027,6.673,7.079,0.406
167215,ati,ind,127,155,3613,4025,7.892,7.076,-0.816
1340,katham,ind,130,156,3541,3999,7.735,7.03,-0.705
121803,svāhā,ind,740,157,929,3989,2.029,7.012,4.983
55672,uttara,adj,247,158,2390,3969,5.221,6.977,1.757
87156,devī,f,149,159,3258,3940,7.117,6.926,-0.19
157266,vad,1. Ā.,167,160,3027,3914,6.612,6.881,0.268
35810,madhya,n,152,161,3187,3880,6.962,6.821,-0.141
142144,vīrya,n,197,162,2780,3872,6.073,6.807,0.734
157281,muc,6. Ā.,151,163,3192,3850,6.973,6.768,-0.204
84570,diś,f,249,164,2384,3832,5.208,6.736,1.529
213304,an,ind,748,165,923,3823,2.016,6.721,4.704
168349,ahar,n,272,166,2257,3788,4.93,6.659,1.729
147116,divya,adj,136,167,3375,3781,7.372,6.647,-0.726
139532,viṣṇu,m,193,168,2819,3776,6.158,6.638,0.48
70783,rāma,m,126,169,3615,3747,7.897,6.587,-1.31
93551,pāda,m,144,170,3273,3747,7.15,6.587,-0.562
7682,adya,ind,147,171,3263,3719,7.128,6.538,-0.59
156127,i,9. P.,311,172,2061,3673,4.502,6.457,1.955
93423,pāṇḍava,m,124,173,3655,3671,7.984,6.453,-1.531
125251,gṛha,mn,191,174,2825,3650,6.171,6.417,0.246
74430,varṇa,mn,139,175,3299,3633,7.206,6.387,-0.82
146511,daśan,adj,174,176,2953,3607,6.451,6.341,-0.11
60200,aśva,m,233,177,2500,3593,5.461,6.316,0.855
106624,suta,m,142,178,3280,3586,7.165,6.304,-0.861
124569,guru,m,137,179,3334,3582,7.283,6.297,-0.986
99310,sūrya,m,221,180,2547,3572,5.564,6.279,0.716
15753,pada,mn,179,181,2909,3564,6.354,6.265,-0.089
28931,nṛpa,m,143,182,3280,3548,7.165,6.237,-0.928
49231,bhavat,adj,148,183,3263,3518,7.128,6.184,-0.943
137542,mūla,mn,154,184,3167,3508,6.918,6.167,-0.751
156154,kathay,10. Ā.,138,185,3328,3474,7.27,6.107,-1.163
87093,devatā,f,373,186,1691,3468,3.694,6.097,2.403
36369,mantra,mn,186,187,2864,3462,6.256,6.086,-0.17
6145,aṅga,n,181,188,2894,3428,6.322,6.026,-0.295
24793,kula,n,173,189,2962,3394,6.47,5.967,-0.504
116251,vrata,n,263,190,2313,3393,5.053,5.965,0.912
76933,vāyu,m,219,191,2551,3392,5.572,5.963,0.391
49485,bhāga,m,183,192,2886,3389,6.304,5.958,-0.346
116648,śabda,m,184,193,2883,3389,6.298,5.958,-0.34
33597,nāman,n,208,194,2667,3386,5.826,5.952,0.127
148859,bāhu,mf,199,195,2771,3355,6.053,5.898,-0.155
131805,śiras,n,210,196,2655,3351,5.8,5.891,0.091
158020,labh,1. P.,156,197,3103,3345,6.778,5.88,-0.898
71571,rudra,m,236,198,2492,3336,5.444,5.865,0.421
5937,agra,n,285,199,2186,3324,4.775,5.843,1.068
63664,indriya,n,212,200,2629,3315,5.743,5.828,0.085
129336,gaṇa,m,170,201,2980,3309,6.51,5.817,-0.692
89644,jñāna,n,157,202,3102,3290,6.776,5.784,-0.992
69149,vara,adj,158,203,3089,3288,6.748,5.78,-0.967
48482,bhagavat,adj,161,204,3071,3272,6.708,5.752,-0.956
48908,bhaya,n,171,205,2978,3270,6.505,5.749,-0.757
74765,varṣa,mn,178,206,2933,3269,6.407,5.747,-0.66
163009,pravac,"3.Ā.,2.P.,3.P.",159,207,3087,3242,6.743,5.699,-1.044
2744,karṇa,m,166,208,3038,3228,6.636,5.675,-0.962
37867,mahātman,adj,162,209,3063,3226,6.691,5.671,-1.02
102830,stha,adj,169,211,2989,3192,6.529,5.611,-0.918
166894,vipra,m,168,212,3025,3191,6.608,5.61,-0.998
85108,duḥkha,n,163,213,3059,3185,6.682,5.599,-1.083
157261,pat,1. Ā.,198,215,2775,3123,6.062,5.49,-0.572
17190,sadā,ind,176,217,2946,3100,6.435,5.45,-0.986
88026,jala,n,175,218,2952,3097,6.448,5.444,-1.004
95032,pitta,n,160,219,3086,3097,6.741,5.444,-1.297
67855,vacana,n,190,220,2825,3089,6.171,5.43,-0.741
158765,pūjay,10. Ā.,172,222,2964,3083,6.475,5.42,-1.055
122846,vidhi,m,189,225,2828,3037,6.177,5.339,-0.839
70209,rāja,m,185,226,2881,3033,6.293,5.332,-0.961
148382,buddhi,f,180,231,2899,3003,6.333,5.279,-1.053
16581,sattva,n,177,232,2937,2999,6.416,5.272,-1.143
76075,vākya,n,196,233,2781,2995,6.075,5.265,-0.81
49850,bhāva,m,188,235,2834,2986,6.191,5.249,-0.941
91276,dvija,m,192,241,2823,2938,6.167,5.165,-1.002
106817,sukha,n,200,247,2765,2869,6.04,5.044,-0.996
