text_2021,text_2026,sent_2021,sent_2026,tok_2021,tok_2026,tok_delta
Nāradasmṛti,Nāradasmṛti,929,1861,13275,13336,61
Nāḍīparīkṣā,Nāḍīparīkṣā,96,195,1553,1554,1
Nāṭyaśāstra,Nāṭyaśāstra,750,1137,7842,7849,7
Nāṭyaśāstravivṛti,Nāṭyaśāstravivṛti,282,302,2585,2603,18
Padārthacandrikā,Padārthacandrikā,8,8,28,28,0
Paramānandīyanāmamālā,Paramānandīyanāmamālā,18,36,211,211,0
Paraśurāmakalpasūtra,Paraśurāmakalpasūtra,98,93,1722,1722,0
Parāśaradharmasaṃhitā,Parāśaradharmasaṃhitā,582,1147,8176,8183,7
Parāśarasmṛtiṭīkā,Parāśarasmṛtiṭīkā,874,1369,7550,7596,46
Pañcaviṃśabrāhmaṇa,Pañcaviṃśabrāhmaṇa,313,2629,28696,29329,633
Pañcārthabhāṣya,Pañcārthabhāṣya,2992,3360,23170,23412,242
Prasannapadā,Prasannapadā,91,35,409,303,-106
Pāraskaragṛhyasūtra,Pāraskaragṛhyasūtra,96,803,661,8131,7470
Pāśupatasūtra,Pāśupatasūtra,155,152,493,499,6
Rasahṛdayatantra,Rasahṛdayatantra,517,1035,8113,8120,7
Rasakāmadhenu,Rasakāmadhenu,459,1107,7874,7875,1
Rasamañjarī,Rasamañjarī,866,1740,12578,12579,1
Rasaprakāśasudhākara,Rasaprakāśasudhākara,1058,2121,15604,15610,6
Rasaratnasamuccaya,Rasaratnasamuccaya,1902,3840,28084,28096,12
Rasaratnasamuccayabodhinī,Rasaratnasamuccayabodhinī,556,587,6426,6430,4
Rasaratnasamuccayadīpikā,Rasaratnasamuccayadīpikā,8,8,82,82,0
Rasaratnasamuccayaṭīkā,Rasaratnasamuccayaṭīkā,1113,1211,12166,12180,14
Rasaratnākara,Rasaratnākara,3702,7455,52756,52761,5
Rasasaṃketakalikā,Rasasaṃketakalikā,300,610,4543,4546,3
Rasataraṅgiṇī,Rasataraṅgiṇī,186,374,2683,2684,1
Rasendracintāmaṇi,Rasendracintāmaṇi,846,1706,13305,13310,5
Rasendracūḍāmaṇi,Rasendracūḍāmaṇi,1210,2469,17903,17920,17
Rasendrasārasaṃgraha,Rasendrasārasaṃgraha,386,817,5676,5676,0
Rasikapriyā,Rasikapriyā,18,35,346,346,0
Rasikasaṃjīvanī,Rasikasaṃjīvanī,15,17,166,166,0
Rasādhyāya,Rasādhyāya,481,971,6640,6641,1
Rasādhyāyaṭīkā,Rasādhyāyaṭīkā,676,686,7764,7780,16
Rasārṇava,Rasārṇava,2318,4706,31928,31936,8
Rasārṇavakalpa,Rasārṇavakalpa,355,708,4796,4798,2
Ratnadīpikā,Ratnadīpikā,126,214,1467,1468,1
Ratnaṭīkā,Ratnaṭīkā,565,514,5392,5445,53
Rājamārtaṇḍa,Rājamārtaṇḍa,105,75,761,765,4
Rājanighaṇṭu,Rājanighaṇṭu,3678,6851,49954,49969,15
Rāmāyaṇa,Rāmāyaṇa,18753,38004,261058,261568,510
Sarvadarśanasaṃgraha,Sarvadarśanasaṃgraha,52,116,1048,1052,4
Sarvāṅgasundarā,Sarvāṅgasundarā,901,938,9063,9102,39
Saundarānanda,Saundarānanda,1063,2128,18982,19008,26
Saṃvitsiddhi,Saṃvitsiddhi,207,443,3398,3403,5
Saṅghabhedavastu,Saṅghabhedavastu,210,218,7630,7642,12
Skandapurāṇa,Skandapurāṇa,1063,2408,16431,16479,48
Skandapurāṇa Revākhaṇḍa),Skandapurāṇa (Revākhaṇḍa),8008,16478,114012,113333,-679
Smaradīpikā,Smaradīpikā,229,124,913,1031,118
Spandakārikā,Spandakārikā,53,104,746,757,11
Spandakārikānirṇaya,Spandakārikānirṇaya,494,611,10213,10650,437
Sphuṭārthāvyākhyā,Sphuṭārthāvyākhyā,31,31,358,379,21
Suśrutasaṃhitā,Suśrutasaṃhitā,8299,15906,146441,146721,280
Sātvatatantra,Sātvatatantra,701,1416,10044,10061,17
Sāṃkhyakārikā,Sāṃkhyakārikā,73,146,1067,1073,6
Sāṃkhyakārikābhāṣya,Sāṃkhyakārikābhāṣya,122,1289,9955,9994,39
