aṁa, aṁ a
akaronnityaṁ, nityam kṛ
akaronmatimān, matimat kṛ
akaronmayi, mad kṛ
akaronmoghaṁ, mogha kṛ
akarkaśamavicchinnamajīrṇaṁ, akarkaśa avicchinna ajīrṇa
akarkaśo, a karkaśa
akartari, a kartṛ
akartaryapi, akartṛ api
akartaryṛṇe, a kartṛ ṛṇa
akartā, a kṛ
akartṛtvam, akartṛ tva
akartṛtvān, akartṛ tva
akartṛbhāvād, akartṛ bhāva
akarteti, akartṛ iti
akarmaṇaśca, akarman ca
akarmaṇyatā, akarmaṇya tā
akarmataśca, akarman ca
akarmadhāraye, a karmadhāraya
akarmanimittaḥ, akarman nimitta
akarmanimittā, akarman nimitta
akarmanimitte, akarman nimitta
akarmaśīlaṁ, akarman śīla
akarmātakṣāma, kṛ takṣ
akarmāpekṣatvaṁ, akarman apekṣa tva
akarmāpekṣitvaṁ, akarman apekṣin tva
akarmāvipākatāyai, akarman a vipāka tā
akarmikā, a karmika
akalaṅkakuṭumbidārāḥ, akalaṅka kuṭumbin dāra
akalaṅkatritayaprasūtiṣu, akalaṅka tritaya prasūti
akalahām, a kalaha
akalādhipabhṛtyadarśitaṁ, akala adhipa bhṛtya darśay
akalāvidyāpadam, akalā vidyā pada
akalitamanasorekā, a manas eka kalay
akalitarasālamukulo, akalita rasāla mukula
akalitaśabdālaṅkṛtir, akalita śabda alaṁkṛti
akaliprasare, a kali prasara
akaluṣamatinā, akaluṣa mati
akaluṣamatirbhavatīti, akaluṣa mati iti bhū
akaluṣamatiś, akaluṣa mati
akaluṣamateḥ, akaluṣa mati
akaluṣamateś, akaluṣa mati
akaluṣasūtre, akaluṣa sūtra
akalkakasya, a kalkaka
akalkako, a kalkaka
akalpantocchiṣṭe, ucchiṣṭa k
akalpite, a kalpay
akalmaṣaguṇāt, akalmaṣa guṇa
akalyāṇamapi, akalyāṇa api
akalyāṇopabhogaiś, akalyāṇa upabhoga
akavāriṁ, a kavāri
akavāriṁ, akava ari
akavārī, a kavāri
akavitvamadharmāya, akavi tva adharma
akaṣāyakṛtaścaiva, a kaṣāya ca eva kṛ
akaṣṭaśabdaṁ, akaṣṭa śabda
akasmācca, akasmāt ca
akasmāccakame, akasmāt kam
akasmāccakṣuṣaḥ, akasmāt cakṣus
akasmāccābhikāmo, akasmāt ca abhikāma
akasmāccaiva, akasmāt ca eva
akasmācchithilaṁ, akasmāt śithila
akasmājjṛmbhate, akasmāt jṛmbh
akasmātkopitānyonyaṁ, akasmāt anyonya kopay
akasmātte, akasmāt tad
