aṁa, aṁ a
aviḍḍhīndra, indra av
avicarma, avi carman
avicalatvena, avicala tva
avicārayataḥ, a vicāray
avicārayadbhir, a vicāray
avicāraratā, a vicāra ram
avicārānumatena, avicāra anuman
avicāritagītārthāṁ, avicārita gīta artha
avicārya, a vicāray
avicāryaiva, a eva vicāray
avicāryaiva, avicārya eva
avicālyāśca, a ca vicālay
avicikitsāparamatāyai, a vicikitsā parama tā
avicintya, a vicintay
avicetanāni, a vicetana
avicetanānīty, avicetana iti
aviceṣṭann, a viceṣṭ
avicchindaty, a vicchid
avicchinnapuṇyatvaṁ, avicchinna puṇya tva
avicchinnaraktavāhīni, avicchinna rakta vāhin
avicchinnarasaṁ, avicchinna rasa
avicchinnāgre, avicchinna agra
avicchinnājyanivahair, a ājya nivaha vicchid
avicchinnāśruvegas, avicchinna aśru vega
avicchinnaistamaḥ, avicchinna tamas
avicchedakṛtā, aviccheda kṛ
avicchedaniruddham, aviccheda nirudh
avijīrṇarasāyane, avijīrṇa rasāyana
avijñātaṁ, a vijñā
avijñātakālaṁ, avijñāta kāla
avijñātakrayo, a kraya vijñā
avijñātagatiścaiva, avijñātagati ca eva
avijñātatattve, avijñāta tattva
avijñātaprabandhasya, a prabandha vijñā
avijñātaprabhāvāṇāṁ, avijñāta prabhāva
avijñātam, a vijñā
avijñātaviṣayasya, avijñāta viṣaya
avijñātas, a vijñā
avijñātasthānagamanam, avijñāta sthāna gamana
avijñātasthitām, a vijñā sthā
avijñātahatasyāśu, a āśu vijñā han
avijñātā, a vijñā
avijñātāṁ, a vijñā
avijñātāntaraḥ, a antara vijñā
avijñātāśrayāt, a āśraya vijñā
avijñāte, a vijñā
avijñāto, a vijñā
avijñātopalabdhyarthaṁ, a upalabdhi artha vijñā
avijñānavān, a vijñānavat
avijñānavimūḍhāś, avijñāna vimuh
avijñānahataprajñā, avijñāna prajñā han
avijñānācca, avijñāna ca
avijñānājjapann, avijñāna jap
avijñānāddhi, avijñāna hi
avijñānāllobho, avijñāna lobha
avijñāya, a vijñā
avijñāyamānaviśeṣavarṇe, avijñāyamāna viśeṣa varṇa
avijñāyātha, avijñāya atha
avijñāyaiva, avijñāya eva
avijñeyatvād, avijñeya tva
avijñeyam, a vijñā
avitathaphalam, avitatha phala
avitathavādī, avitatha vādin
avitathavyāhṛtirasau, avitatha vyāhṛti adas
avitarkamavicāraṁ, vitarka vitarka a vicāra
avitarkayan, a vitarkay
avitṛptaḥ, a vitṛp
avitṛptatayā, a tā vitṛp
avitṛptadṛśāṁ, a dṛś vitṛp
avitṛptasya, a vitṛp
avitṛptāḥ, a vitṛp
avitṛptāsmi, a as vitṛp
avitṛptau, a vitṛp
avited, id av
aviteva, avitṛ iva
avitsīti, iti vid
avidagdhaṁ, a vidah
avidagdhastathā, avidagdha tathā
avidacchucantaṁ, vid śuc
avidanto, a vid
avidāraṇaśīlā, avidāraṇa śīla
avidāvedaṁ, idam vid
avidāhitvāj, avidāhin tva
avidāhitvājjanmādyeva, avidāhin tva janman ādi eva
aviditavibhavo, a vibhava vid
aviditaśīlasya, avidita śīla
aviditākārāpi, avidita ākāra api
avidito, a vid
aviditvā, a vid
aviditvātmanas, a ātman vid
aviditvāsmāllokāt, a idam loka vid
aviditvāsmiṁlloke, a idam loka vid
aviduṣo, a vid
avidūramaulir, avidūra mauli
avidūrasthitaṁ, avidūra sthā
avidūrasthitān, avidūra sthā
aviddhaprākāratoraṇo, aviddha prākāra toraṇa
avidyamānatvāt, avidyamāna tva
avidyamānatvena, a tva vid
avidyamānatvena, avidyamāna tva
avidyamānapaṭasyārthinaḥ, avidyamāna paṭa arthin
avidyamānam, a vid
avidyamānasyāpy, avidyamāna api
avidyamānārtharūpe, avidyamāna artha rūpa
avidyayātmani, avidyā ātman
avidyayāsya, avidyā idam
avidyayaiva, avidyā eva
avidyayaiveyam, avidyā eva idam
avidyākarmaceṣṭānāṁ, avidyā karman ceṣṭā
avidyākarmatṛṣṇābhir, avidyā karman tṛṣṇā
avidyākṛtadehātmapratyayādhīnatā, avidyā deha ātman pratyaya adhīna tā kṛ
avidyāgranthibhedena, avidyā granthi bheda
avidyāṇḍakoṣaprakṣipto, avidyā aṇḍakoṣa prakṣip
avidyātatsamāśleṣajīvatvādi, avidyā tad samāśleṣa jīva tva ādi
avidyātarusaṁbhūtibījam, avidyā taru sambhūti bīja
avidyātmakaṁ, avidyā ātmaka
avidyātmakasya, avidyā ātmaka
avidyādayaḥ, avidyā ādi
avidyāntargataṁ, avidyā antargam
avidyāntargatairyatnaḥ, avidyā yatna antargam
avidyāpaṭalaṁ, avidyā paṭala
avidyāpāśabaddhānāṁ, avidyā pāśa bandh
avidyāpi, avidyā api
avidyāpy, avidyā api
avidyāpyupakārāya, avidyā api upakāra
avidyāpratibaddhatvād, avidyā tva pratibandh
avidyāpratyayadṛṣṭyabhiniveśābhiniviṣṭaiḥ, avidyā pratyaya dṛṣṭi abhiniveśa abhiniviś
avidyāpratyayāḥ, avidyā pratyaya
avidyābahulo, avidyā bahula
avidyāmasmitāṁ, avidyā asmitā
avidyāmohitātmānaḥ, avidyā ātman mohay
avidyālakṣaṇaṁ, avidyā lakṣaṇa
avidyāvṛtirugglānipāpamūlakṣayādibhiḥ, avidyā āvṛti ruj glāni pāpa mūla kṣaya ādi
avidyāsaṁcitaṁ, avidyā saṁci
avidyāsaṁśayagranthiṁ, avidyā saṁśaya granthi
avidyāsargam, avidyā sarga
avidyāsmitārāgadveṣābhiniveśāḥ, avidyā asmitā rāga dveṣa abhiniveśa
avidyeyaṁ, avidyā idam
avidyopādhike, avidyā upādhika
avidyaiva, avidyā eva
avidvāṁścaiva, a vidvas ca eva
avidvāṁsa, a vid
avidvāṁso, a vidvas
avidvāñchṛṇavacca, a vidvas ca śru
avidvān, a vid
avidvān, a vidvas
avidvānapi, avidvas api
avidvānmokṣadharmeṣu, avidvas mokṣa dharma
avidviṣāṇasya, a vidviṣ
avidviṣṭenāpi, avidviṣṭa api
avidveṣaṁ, a vidveṣa
avidhavāḥ, a vidhavā
avidhāya, a vidhā
avidhāyaiva, a eva vidhā
avidhāritavegasya, avidhārita vega
avidhijño, a vidhi jña
avidhinālabhya, avidhi ālabh
avidhiśca, avidhi ca
avidheyakalatrāśca, avidheya kalatra ca
avidheyendriyaḥ, avidheya indriya
avidhyacca, ca vyadh
avidhyacchitaiḥ, vyadh śā
avidhyacchitair, vyadh śā
avidhyacchīghram, śīghram vyadh
avidhyaddhastatalayor, hasta tala vyadh
avidhyannavabhiḥ, navan vyadh
avidhyannavabhir, navan vyadh
avidhyanniśitaiḥ, vyadh niśā
avidhyanniśitair, vyadh niśā
avidhyanmahārāja, mahat rāja vyadh
avidhyanmāgadho, māgadha vyadh
avinayapadaṁ, avinaya pada
avinayapāramiteyaṁ, avinaya pāramitā idam
avinayabhuvanaṁ, avinaya bhuvana
avinayasaṁmataṁ, avinaya samman
avinaṣṭaṁ, a vinaś
avinaṣṭaḥ, a vinaś
avinaśvaratayā, a vinaśvara tā
avinaśvaratvaṁ, avinaśvara tva
avināśyaparaṁ, avināśya para
avinirbhāgavartina, avinirbhāga vartin
avinirbhinnaśabdārthaṁ, avinirbhinna śabdārtha
avinivartanīyayānaṁ, a yāna vinivṛt
avinivartanīyasya, a vinivṛt
avinivartanīyasyedam, a idam vinivṛt
avinivartanīyā, a vinivṛt
avinivartanīyān, a vinivṛt
avinivartanīyāyāṁ, a vinivṛt
avinihitaṁ, a vinidhā
avinītaputram, avinīta putra
avinītamanuṣyaṁ, avinīta manuṣya
avinītaśca, a ca vinī
avinīto, a vinī
avindañchiśriyāṇaṁ, vid śri
avindadbhir, a vid
avindamānā, a vid
avindamānāstvatha, avindamāna tu atha
avindhyavacanād, avindhya vacana
avindhyavārito, avindhya vāray
avipakvakaṣāyo, avipakva kaṣāya
avipakṣam, a vipakṣa
avipannaguṇānāṁ, avipanna guṇa
aviparītajñānārtham, aviparīta jñāna artha
aviparītabandhe, aviparīta bandha
aviparyastatayā, a viparyasta tā
avipasthaḥ, avipa stha
avipasthasya, avipa stha
avipākagataṁ, avipāka gam
avipākaśca, avipāka ca
avipākāsyavairasye, avipāka āsya vairasya
avipāścaiva, avipa ca eva
aviprakīrṇabhāṇḍāṁ, a bhāṇḍa viprakṛ
avipraṇāśaḥ, a vipraṇāśa
avipre, a vipra
avipro, a vipra
aviplutabrahmacaryo, avipluta brahmacarya
aviplutamatiḥ, avipluta mati
avibandhena, a vibandha
avibruvataḥ, a vibrū
avibruvantī, a vibrū
avibhaktāpy, avibhakta api
avibhaktābhidhānādeva, avibhakta abhidhāna eva
avibhavastu, avibhava tu
avibhāgagatā, avibhāga gam
avibhāgajñaḥ, avibhāga jña
avibhāgaprāptāviva, avibhāga prāpti iva
avibhāgam, a vibhāga
avibhāgamamaryādaṁ, avibhāga amaryāda
avibhāgasvaramayī, avibhāga svara maya
avibhāgahetoḥ, avibhāga hetu
avibhāgāpannaṁ, avibhāga āpad
avibhāgaikarūpatvaṁ, avibhāga eka rūpa tva
avibhāgaikarūpā, avibhāga eka rūpa
avibhāvanīyatāṁ, avibhāvanīya tā
avibhāvitaniṣkramaprayāṇaḥ, a niṣkrama prayāṇa vibhāvay
avibhāvitaśarīreṇālpam, avibhāvita śarīra alpa
avibhāvyamānarūpā, a rūpa vibhāvay
avibhidya, a vibhid
avibhinnatamisrāṁ, a tamisra vibhid
avibhinnamahaṅkāramāvirbhāvya, avibhinna ahaṁkāra āvirbhāvay
avibhinnā, a vibhid
avibhutvātkaraṇāni, avibhutva karaṇa
avibhrāntabhrūpatākam, avibhrānta bhrū patākā
avibhrāntair, a vibhram
avimarśapareṇa, avimarśa para
avimuktamiti, avimukta iti
avimuktamidaṁ, avimukta idam
avimuktarudrakoṭī, avimukta rudrakoṭi
avimuktādupāgamya, avimukta upāgam
avimuktāvimuktatvāt, avimukta avimukta tva
avimuktāśrayaṁ, avimukta āśraya
avimūtraṁ, avi mūtra
avimūtradrutair, avi mūtra dru
avimūtramajāmūtraṁ, avi ajā ajā mūtra
avimṛṣyam, a vimṛṣ
avimṛśyakāriṇāṁ, avimṛśya kārin
avimṛśyaiva, a eva vimṛś
aviyukto, a viyuj
aviyogakaraṁ, aviyoga kara
aviyogādim, aviyoga ādi
aviyojyopacchandanair, aviyojya upacchandana
avirataruditocchūnatāmradṛṣṭim, avirata rudita tāmra dṛṣṭi ucchvi
aviratāśru, avirata aśru
aviratiścittasya, avirati citta
aviratojjhitavārivipāṇḍubhir, avirata ujjhita vāri vipāṇḍu
aviratotkaṇṭham, avirata utkaṇṭhā
aviralakadarthanaṁ, avirala kadarthana
aviralakucayugmā, avirala kuca yugma
aviralacchāyāṁ, avirala chāyā
aviralanipatitamadanaśarāt, avirala madana śara nipat
aviralapatitāśru, avirala aśru pat
aviralapātibhir, avirala pātin
aviralapṛthudhārāsāndravṛṣṭipravāhair, avirala pṛthu dhārā sāndra vṛṣṭi pravāha
aviralaphalinīvanaprasūnaḥ, avirala phalinī vana prasūna
aviralalāñchanahāriṇaś, avirala lāñchana hārin
aviralavapuṣaḥ, avirala vapus
aviralavitateva, avirala iva vitan
aviralaśādvalāṁ, avirala śādvala
avirahitam, a virah
avirahitaścānena, avirahita ca idam
avirāgākṣaratvam, avirāga akṣara tva
avirāgyuṣṇasahaṁ, a virāgin uṣṇa saha
avirājāsya, a virāj idam
aviruddhavīryam, aviruddha vīrya
aviruddhānvane, aviruddha vana
aviruddhārthavādenānūditatvād, aviruddha artha vāda tva anuvad
avirūpām, a virūpa
avirecanakāritvaṁ, avirecana kāritva
avirecyaiva, avirecya eva
avirodhaśca, avirodha ca
avirodhājjvarasya, avirodha jvara
avilaṅghyaṁ, a vilaṅgh
avilaṅghyavikarṣaṇaṁ, avilaṅghya vikarṣaṇa
avilaṅghyaśāsanān, avilaṅghya śāsana
avilambitameva, avilambita eva
aviluptamanāḥ, a manas vilup
aviluptāvabodhātmā, avilupta avabodha ātman
avilupyāgamaṁ, avilupya āgama
avilocanasya, a vilocana
avivakṣitatvāt, avivakṣita tva
avivakṣitasāmānyā, avivakṣita sāmānya
avivaraiḥ, a vivara
avivitsānasūyā, avivitsā anasūyā
avivītānāṁ, a vivīta
avivekamūḍhamanasāṁ, aviveka manas muh
avivekaviṣayanimnā, aviveka viṣaya nimna
avivekavṛthāśramāvivārthaṁ, a viveka vṛthā śrama iva artha
avivekastathā, aviveka tathā
avivekānām, a viveka
avivekāndhabuddhīnāṁ, aviveka andha buddhi
avivekitvaṁ, avivekin tva
avivekitvam, avivekin tva
avivekitvādeḥ, avivekin tva ādi
avivekītyādi, avivekin ityādi
aviveko, a viveka
avivekyādi, avivekin ādi
avivekyādiyogi, avivekin ādi yogin
avivekyādir, avivekin ādi
avivekyādiviparyaye, avivekin ādi viparyaya
avivekyādīti, avivekin ādi iti
avivekyādeḥ, avivekin ādi
avivecanamiśraṇapreraṇalakṣaṇo, avivecanā miśraṇa preraṇa lakṣaṇa
aviṣaktamateś, a mati viṣañj
aviṣaṇṇamatirbhūtvā, aviṣaṇṇa mati bhū
aviṣaṇṇaśca, aviṣaṇṇa ca
aviṣaprāṇinām, aviṣa prāṇin
aviṣamagaṇḍaśca, aviṣama gaṇḍa ca
aviṣamasamapādaśca, aviṣama sama pāda ca
aviṣayabhayalajjāvañcitam, aviṣaya bhaya lajjā vañcay
aviṣayāśca, aviṣaya ca
aviṣaviṣaprāśināṁ, aviṣa viṣa prāśin
aviṣahya, a viṣah
aviṣahyatamānmanye, aviṣahyatama man
aviṣahyatayā, aviṣahya tā
aviṣahyabalaṁ, aviṣahya bala
aviṣahyātapo, aviṣahya ātapa
aviṣādakarair, aviṣāda kara
aviṣādaśca, aviṣāda ca
aviṣāditvād, aviṣādin tva
aviṣīdanto, a viṣad
aviṣopahatam, aviṣa upahan
aviṣṭo, u av
aviśaṅkaśca, aviśaṅka ca
aviśaṅkastad, aviśaṅka tad
aviśaṅkitayā, a viśaṅk
aviśadam, a viśada
aviśabdena, avi śabda
aviśastātihāya, aviśastṛ atihā
aviśālabhāvād, aviśāla bhāva
aviśiṣṭaguṇapañcakamātraṁ, aviśiṣṭa guṇa pañcaka mātra
aviśiṣṭaguṇā, aviśiṣṭa guṇa
aviśiṣṭaliṅgam, aviśiṣṭa liṅga
aviśiṣṭāśca, aviśiṣṭa ca
aviśīryamāṇadhātuguṇaṁ, aviśīryamāṇa dhātu guṇa
aviśuddhiyukta, aviśuddhi yuj
aviśuddhiyuktaḥ, aviśuddhi yuj
aviśeṣakaro, a viśeṣa kara
aviśeṣatayā, aviśeṣa tā
aviśeṣadoṣān, aviśeṣa doṣa
aviśeṣalakṣaṇānāṁ, aviśeṣa lakṣaṇa
aviśeṣavācakatvād, aviśeṣa vācaka tva
aviśeṣātmakaṁ, aviśeṣa ātmaka
aviśeṣānupāyābhyāṁ, aviśeṣa anupāya
aviśeṣābhihite, aviśeṣa abhidhā
aviśeṣāśca, aviśeṣa ca
aviśeṣokte, aviśeṣa vac
aviśeṣaistanmātrair, aviśeṣa tanmātra
aviśodhitalohānāṁ, aviśodhita loha
aviśramanmuhūrtaṁ, aviśramat muhūrta
aviśrāntaṁ, a viśram
aviśrāntamabhūdyatra, aviśrānta yatra bhū
aviśrāmamāyuṣo, aviśrāmam āyus
aviśvastasteṣu, aviśvasta tad
aviśvahetor, a viśva hetu
aviśvāsakathām, aviśvāsa kathā
aviśvāsatā, aviśvāsa tā
aviśvāsabhayātprāyāttyaktvā, aviśvāsa bhaya prayā tyaj
aviśvāsamaye, aviśvāsa maya
aviśvāsaśca, aviśvāsa ca
aviśvāsyaṁ, a viśvas
aviśvāsyam, a viśvāsay
avisaṁvāditā, avisaṁvādin tā
avisaṁvāditvāc, avisaṁvādin tva
avisṛṣṭaṁ, a visṛj
avispanditapakṣmamālair, avispandita pakṣman mālā
avispaṣṭagirastān, avispaṣṭa gir as
avismṛtanikārāṇāṁ, a nikāra vismṛ
avismṛtistvaccaraṇāravinde, a vismṛti tvad caraṇa aravinda
avisraṁsāya, a visraṁsa
avihatendriyasāmarthyo, avihata indriya sāmarthya
avihitasukhaleśam, a sukha leśa vidhā
avihitaharisūnuvikriyāṇi, a hari sūnu vikriyā vidhā
avihitaiśca, avihita ca
avihṛtaḥ, a vihṛ
avihṛtān, a vihṛ
avihṛtām, a vihṛ
avihṛto, a vihṛ
aviheṭhayatā, a viheṭhay
aviheṭhitaḥ, a viheṭhay
aviheṭhitas, a viheṭhay
avihrutaṁ, a vihruta
avihvalamanāḥ, avihvala manas
avīcikardamālepasūtrapātam, avīci kardama ālepa sūtra pāta
avīcimavagāhante, avīci avagāh
avīcivāsino, avīci vāsin
avīcyantāni, avīci anta
avītarāgasya, a rāga vī
avītarāgāṇāṁ, avīta rāga
avītā, a vī
avīrajo, a vīra ja
avīrapuruṣāsaṅgādrakṣaṇīye, avīra puruṣa āsaṅga rakṣ
avīrastrī, avīra strī
avīrahā, avīra han
avīrācaritāṁ, avīra ācar
avīre, a vīra
avṛkṣakardamagrāvā, avṛkṣa kardama grāvan
avṛṇītā, ā vṛ
avṛṇīthāstvaṁ, tvad vṛ
avṛṇocchardhanītiḥ, śardha nīti vṛ
avṛjinaṁ, a vṛjina
avṛjinā, a vṛjina
avṛtam, a vṛ
avṛtānīndriyāṇi, avṛta indriya
avṛttapūrvam, a pūrva vṛt
avṛttapūrvam, avṛtta pūrva
avṛttāsv, a vṛt
avṛttikarṣitaḥ, avṛtti karṣay
avṛttikarśitaṁ, avṛtti karśay
avṛttikarśitā, avṛtti karśay
avṛttivyādhiśokārtān, avṛtti vyādhi śoka ārta
avṛttyāntyamanuṣyo, avṛtti antya manuṣya
avṛttyāsmān, avṛtti mad
avṛttyaiva, avṛtti eva
avṛddhakulavāsinyas, avṛddha kula vāsin
avṛddhāt, a vṛdh
avṛddhād, a vṛdh
avṛddhābhyo, a vṛdh
avṛddhārheṇa, a vṛddha arha
avṛddhikṣayam, a vṛddhi kṣaya
avṛddhināśaṁ, a vṛddhi nāśa
avṛddhirjagato, avṛddhi jagant
avṛdhāṁ, a vṛdha
avṛṣṭipātād, a vṛṣṭi pāta
avṛṣṭiruktā, avṛṣṭi vac
avṛṣṭirmaraṇaṁ, avṛṣṭi maraṇa
avṛṣṭisaṁrambham, avṛṣṭi saṁrambha
avekṣaṇotsukaṁ, avekṣaṇa utsuka
avekṣadbhistattvārthaṁ, tattva artha avekṣ
avekṣamāṇaśca, ca avekṣ
avekṣamāṇastasyāśca, tad ca avekṣ
avekṣamāṇastāṁ, tad avekṣ
avekṣamāṇastrīṁl, tri avekṣ
avekṣamāṇāśca, ca avekṣ
avekṣamāṇāste, tad avekṣ
avekṣārthaṁ, avekṣā artha
avekṣyartuṁ, ṛtu avekṣ
avekṣyāgarhitena, agarhita avekṣ
avekṣyāgnyādikān, agni ādika avekṣ
avekṣyātmanyacintayat, ātman cintay avekṣ
avekṣyāntyāṁ, antya avekṣ
avekṣyābhyadravad, abhidru avekṣ
avekṣyārtaḥ, ārta avekṣ
avekṣyāvekṣya, avekṣ avekṣ
avekṣyāsau, adas avekṣ
avekṣyedaṁ, idam avekṣ
avekṣyainaṁ, enad avekṣ
aved, ava id
avedanam, a vedanā
avedanāṁstvaksthān, avedana tvac stha
avedanāvanna, avedanāvat na
avedaviduṣe, aveda vidvas
avedavratacāritrās, a veda vrata cāritra
avedānām, a veda
avedoktavratāścaiva, a veda vrata ca eva vac
avedoktavratopetā, a veda vrata vac upe
avedyayatno, avedya yatna
avedyāvedanena, avedyā vedana
avedhyavibhāgārthaṁ, avedhya vibhāga artha
avenantaṁ, a ven
avendravad, indra vat av
avepinau, a vepin
aveyam, ava idam
averiva, avi iva
avocaṁste, tad vac
avocattasya, tad vac
avocattau, tad vac
avocadindradatto, indradatta vac
avocadbhārakhinnāhaṁ, bhāra mad vac khid
avocadrākṣasī, rākṣasī vac
avocanmāṁ, mad vac
avocāmākarat, vac kṛ
avocāmākṣarasamāmnāya, akṣara samāmnāya vac
avocāmāsthīni, asthi vac
avocāmāhorātrāṇāṁ, ahorātra vac
avodor, ava ud
avosriyo, ava usriya
avaikārikavikāreṇa, avaikārika vikāra
avaiklavyasya, a vaiklavya
avaikṣatākṣaṁ, akṣa avekṣ
avaikṣatākṣaḥ, akṣa avekṣ
avaikṣantācalair, acala avekṣ
avaicitryapadaṁ, avaicitrya pada
avaitenārātsīr, ava etad rādh
avaidhavyakarair, avaidhavya kara
avaidhavyāśiṣas, avaidhavya āśis
avaidhavyena, a vaidhavya
avainaṁ, ava enad
avaimyetad, etad ave
avairakṛt, avaira kṛt
avairakṛd, avaira kṛt
avairam, a vaira
avairaruṣṭaṁ, avaira ruṣ
avairasya, a vaira
avairahatyāyedam, a vairahatya idam
avairā, a vaira
avairāgyakṛtaṁ, avairāgya kṛ
avairāgyalakṣaṇabuddhidharmātmako, avairāgya lakṣaṇa buddhi dharma ātmaka
avairāgyalakṣaṇas, avairāgya lakṣaṇa
avairāgyalakṣaṇe, avairāgya lakṣaṇa
avairāgyalakṣaṇo, avairāgya lakṣaṇa
avairāgyasyāpi, avairāgya api
avairāgyādbandhaḥ, avairāgya bandha
avairāgyābhāve, avairāgya abhāva
avairāgyeṇaivātiśayavatā, avairāgya eva atiśayavat
avaivartikatāyai, a vaivartika tā
avaivartikabhūmir, a vaivartika bhūmi
avaiṣṇavaparaṁ, avaiṣṇava para
avaiṣṇavavratārambhas, avaiṣṇava vrata ārambha
avaiṣṇavāśca, avaiṣṇava ca
avaiṣṇavopadiṣṭena, avaiṣṇava upadiś
avaiśvadevam, a vaiśvadeva
avyaktakarmajā, avyakta karman ja
avyaktakalavākyāni, avyakta kala vākya
avyaktakale, avyakta kala
avyaktakālaḥ, avyakta kāla
avyaktagrahaṇam, avyakta grahaṇa
avyaktacodanāḥ, avyakta codana
avyaktacodaneṣvamantrakaṁ, avyakta codana amantraka
avyaktajaṁ, avyakta ja
avyaktajalpī, avyakta jalpin
avyaktajā, avyakta ja
avyaktajīvamahatām, avyakta jīva mahant
avyaktatāṁ, avyakta tā
avyaktatvaṁ, avyakta tva
avyaktadharmāntaravyāpakān, avyakta dharma antara vyāpaka
avyaktanābhaṁ, avyakta nābha
avyaktanāmāni, avyakta nāman
avyaktaniḥsvanitakātarakathyamānasaṁkīrṇavarṇaruciraṁ, avyakta kātara saṁkīrṇa varṇa rucira niḥsvan kathay
avyaktanidhanaṁ, avyakta nidhana
avyaktanidhanāni, avyakta nidhana
avyaktanidhanānyeva, avyakta nidhana eva
avyaktanimittatvam, avyakta nimitta tva
avyaktapadaṁ, avyakta pada
avyaktapuruṣayoḥ, avyakta puruṣa
avyaktapuruṣābhyāṁ, avyakta puruṣa
avyaktaprakṛtir, avyakta prakṛti
avyaktaprakṛtirdevaḥ, avyakta prakṛti deva
avyaktaprabhavaṁ, avyakta prabhava
avyaktaprabhavāṁ, avyakta prabhava
avyaktaprabhavānyāhur, avyakta prabhava ah
avyaktaprabhavo, avyakta prabhava
avyaktapretatvādeva, avyakta preta tva eva
avyaktapretādyavasthānair, avyakta ādi avasthāna pre
avyaktapretonmattamūḍhāḥ, avyakta pre unmad muh
avyaktapretonmattādyaṁ, avyakta ādya pre unmad
avyaktapretonmattādyā, avyakta ādya pre unmad
avyaktabījaprabhavo, avyakta bīja prabhava
avyaktabuddhyahaṅkāratanmātrāsaṁbhavāṁ, avyakta buddhi ahaṁkāra tanmātra sambhava
avyaktabodhanāccaiva, avyakta bodhana ca eva
avyaktabhāvācca, avyakta bhāva ca
avyaktabhāṣī, avyakta bhāṣin
avyaktamakṣaraṁ, avyakta akṣara
avyaktamajamityevaṁ, avyakta aja iti evam
avyaktamañjuvacanaiḥ, avyakta mañju vacana
avyaktamadhya, avyakta madhya
avyaktamasya, avyakta idam
avyaktamātmā, avyakta ātman
avyaktamiṣṭāḥ, avyakta iṣ
avyaktamūlaṁ, avyakta mūla
avyaktayantyevam, evam avyaktay
avyaktayonirbhagavān, avyakta yoni bhagavant
avyaktarasaṁ, avyakta rasa
avyaktarasapakṣaṁ, avyakta rasa pakṣa
avyaktarasasindhūnāṁ, avyakta rasa sindhu
avyaktarāgastvaruṇaḥ, avyaktarāga tu aruṇa
avyaktarūpaṁ, avyakta rūpa
avyaktarūpasya, avyakta rūpa
avyaktarūpā, avyakta rūpa
avyaktarūpāṁśca, avyakta rūpa ca
avyaktalakṣaṇaṁ, avyakta lakṣaṇa
avyaktaliṅgā, avyakta liṅga
avyaktaliṅgino, avyakta liṅgin
avyaktaliṅgopadeśād, avyakta liṅga upadeśa
avyaktaliṅgairmunibhiḥ, avyakta liṅga muni
avyaktalekhām, avyakta lekhā
avyaktavacanaṁ, avyakta vacana
avyaktavat, avyakta vat
avyaktavanamārgaḥ, avyakta vana mārga
avyaktavarṇaḥ, avyakta varṇa
avyaktavarjitaṁ, avyakta varjay
avyaktavarjitamiti, avyakta iti varjay
avyaktavartmany, avyakta vartman
avyaktavartmaiṣa, avyakta vartman etad
avyaktavidyām, avyakta vidyā
avyaktaviṣayaṁ, avyakta viṣaya
avyaktavyaktarūpāya, avyakta vyakta rūpa
avyaktaṣaḍrasasaṁyuktaṁ, avyakta ṣaṣ rasa saṁyuj
avyaktaśabdenaiva, avyakta śabda eva
avyaktasaṁsthānaṁ, avyakta saṁsthāna
avyaktasattvasaṁyukto, avyakta sattva saṁyuj
avyaktasiddhau, avyakta siddhi
avyaktastathānyaḥ, avyakta tathā anya
avyaktastu, avyakta tu
avyaktasthaṁ, avyakta stha
avyaktasthalaśvabhrā, avyakta sthala śvabhra
avyaktastheṣu, avyakta stha
avyaktasyātmano, avyakta ātman
avyaktasyeha, avyakta iha
avyaktahetukā, avyakta hetuka
avyaktākṣaram, avyakta akṣara
avyaktākhyā, avyakta ākhya
avyaktākhye, avyakta ākhyā
avyaktāṅgīṁ, avyakta aṅga
avyaktāṅgulipārṣṇyādinikṣepaṁ, avyakta aṅguli pārṣṇi ādi nikṣepa
avyaktācca, avyakta ca
avyaktājjāyate, avyakta jan
avyaktātmakamevedaṁ, avyakta ātmaka eva idam
avyaktātmani, avyakta ātman
avyaktātmā, avyakta ātman
avyaktātmātmakaṁ, avyakta ātman ātmaka
avyaktādabhavat, avyakta bhū
avyaktādabhavatsthāṇuḥ, avyakta sthāṇu bhū
avyaktādi, avyakta ādi
avyaktādicaturdikṣu, avyakta ādi catur diś
avyaktāditi, avyakta iti
avyaktādiviśeṣāntaṁ, avyakta ādi viśeṣa anta
avyaktādīni, avyakta ādi
avyaktādutpannā, avyakta utpad
avyaktādbalamādyaṁ, avyakta bala ādya
avyaktādyaviśeṣānte, avyakta ādya viśeṣa anta
avyaktādvyaktaṁ, avyakta vyakta
avyaktādvyaktayaḥ, avyakta vyakti
avyaktānantasalilaṁ, avyakta ananta salila
avyaktānukaraṇasya, avyakta anukaraṇa
avyaktānukaraṇād, avyakta anukaraṇa
avyaktānukṛtiprāyo, avyakta anukṛti prāya
avyaktānugraheṇa, avyakta anugraha
avyaktāntaṁ, avyakta anta
avyaktāntam, avyakta anta
avyaktāvasthāgamane, avyakta avasthā gamana
avyaktāvasthātvaprasaṅga, avyakta avasthā tva prasaṅga
avyaktāvasthānaiva, avyakta avasthāna eva
avyaktāvasthety, avyakta avasthā iti
avyaktiṁ, a vyakti
avyaktībhavantyevaṁ, evam avyaktībhū
avyaktībhāvastu, avyaktībhāva tu
avyaktenāvṛto, avyakta āvṛ
avyaktenāsatā, avyakta asat
avyakteṣvaparādheṣu, avyakta aparādha
avyaktaikatvam, avyakta eka tva
avyagramanaso, avyagra manas
avyagramanāḥ, avyagra manas
avyagravarṇānāṁ, avyagra varṇa
avyagrastam, avyagra tad
avyagrastayor, avyagra tad
