Textname;Author
Gṛhastharatnākara;Caṇḍeśvara Ṭhakkura
Haṭhayogapradīpikā;Svātmarāma
Haṃsadūta;Rūpa Goswāmin
Haṃsasaṃdeśa;Vedānta Deśika
Harṣacarita;Bāṇa
Hārāṇacandara on Suśr; 
Haribhaktivilāsa;Gopālabhaṭṭa
Hindu Tantrism;Sanjukta Gupta; Dirk Jan Hoens; Teun Goudriaan
Hiraṇyakeśigṛhyasūtra; 
History of chemistry in ancient and medieval India;Ray  Praphulla Chandra
Hitopadeśa;Nārāyaṇa
Hymnes de Abhinavagupta;Silburn  Lilian
Hymns of the Atharva-Veda;Bloomfield  Maurice
Ṭikanikayātrā;Varāhamihira
Index of Viṃśatikā and Triṃśatikā;Bareau
Indian Epigraphical Glossary;Sircar  D.C.
Indian lexicography;Vogel  Claus
Indu ad AHS);Indu
Jaiminigṛhyasūtra; 
Jaiminīyabrāhmaṇa; 
Janmamaraṇavicāra;Vāmadeva
Kūrmapurāṇa; 
Kāśikāvṛtti;Jayāditya  Vāmana
Kāṭhakagṛhyasūtra; 
Kaṭhopaniṣad; 
Kādambarīsvīkaraṇasūtramañjarī;Purūravas
Kaiyadevanighaṇṭu; 
Kālikāpurāṇa; 
Kāmakuñjalatā;P. Ḍhuṇḍhirājśāstrā
Kāmasūtra;Vātsyāyana
Kashmir Shaivism;Jagdish Chandra Chatterji
Kathāsaritsāgara;Somadeva
Kātyāyanaśrautasūtra; 
Kātyāyanasmṛti; 
Kauśikasūtra; 
Kauśikasūtradārilabhāṣya; 
Kauṣītakyupaniṣad; 
Kaulāvalīnirṇaya; 
Kāvyādarśa;Daṇḍin
Kāvyālaṃkāra;Bhāmaha
Kāvyālaṃkāravṛtti;Vāmana
Kāvyasaṃgraha; 
Khādiragṛhyasūtra; 
Khādiragṛhyasūtrarudraskandavyākhyā;Rudraskanda
King  Governance and Law in Ancient India;Olivelle  Patrick
Kirātārjunīya;Bhāravi
Kokilasaṃdeśa;Uddaṇḍa
Kranich und Reiher im Sanskrit;Paul Thiem
Kumārasaṃbhava;Kālidāsa
;
Kurzgefa￟tes W￶rterbuch ...;M. Mayrhofer
Kṛṣṇāmṛtamahārṇava;Mādhva
Kṛṣiparāśara;Parāśara
La doctrine du sacrifice dans les Brahmanas;L￩vi  Sylvain
La Kāśikā-vṛtti; 
Laṅkāvatārasūtra; 
Lalitavistara; 
Le discours des rem￨des au pays des ￩pices;Zimmermann  Francis
Les enseignements architecturaux de l\Ajitāgama et du Rauravāgama Dagens; Bruno Etudes sur les āgama śivaites
Les lapidaires indiens;Finot  Louis
Les Strophes de Sāṃkhya Sāṃkhyakārikā); 
Liṅgapurāṇa; 
Mūlamadhyamakārikāḥ;Nāgārjuna
Maṇimāhātmya; 
Madanapālanighaṇṭu;Vinoda
Mahābhārata; 
Mahācīnatantra; 
Maitrāyaṇīsaṃhitā; 
Mānavagṛhyasūtra; 
;
Manusmṛti;Manu
Matsyapurāṇa; 
