Verbal Forms Finite: 


'bhavāsi',25,2,
'bhavāti',25,3,
'bhavāḥ',25,2,

'bhūyāḥ',32,2,
'bhūyāt',32,3,
'bhūyāma',32,7,
'bhuvāni',42,1,
'bhuvaḥ',42,2,
'bhuvat',42,3,
'bhūtas',42,5,
'bhūthaḥ',42,6,
'bhuvan',42,9,
'bodhi',33,2,
'bhūtu',33,3,
'bhūtam',33,5,
'bhūta',33,8,
'bhūtana',33,8,
'bhūyāḥ',14,3,
'abhūtana',8,8,
'babhūyāḥ',36,2,
'babhūyāt',36,3,
'babhūtu',39,3,
'bhūtam',30,5,
'bhuvat',30,3,
'bhuvaḥ',30,2,
'bhavan',40,9,
Verbal Forms Infinite: 

'bhavat','bhav',1,13,
'bhaviṣyat','bhaviṣy',5,13,
'bhūta','bhūt',19,11,
'bhavitavya','bhavitavy',21,11,
'bhavya','bhavy',21,11,
'bhavitum','bhavitum',22,1,
'bhūtvā','bhūtvā',23,1,
'bhāvya','bhāvy',21,11,
'bhūtavat','bhūtav',20,13,
'babhūvas','babhū',15,55,
'bhūtvī','bhūtvī',23,1,
'bhavitoḥ','bhavitoḥ',22,1,Verbal Forms Finite: 

Verbal Forms Infinite: 
Verbal Forms Finite: 

Verbal Forms Infinite: 
