 "Sg" "Du" "Pl" "Sg" "Du" "Pl"
"Nom" 788742 20807 174042 34,63% 0,91% 7,64%
"Voc." 62123 1297 3780 2,73% 0,06% 0,17%
"Acc." 432746 9570 87081 19,00% 0,42% 3,82%
"Ins" 132867 3804 79635 5,83% 0,17% 3,50%
"Dat" 30011 376 4915 1,32% 0,02% 0,22%
"Abl" 56985 465 3598 2,50% 0,02% 0,16%
"G" 133953 6678 61805 5,88% 0,29% 2,71%
"L" 154046 1935 26248 6,76% 0,08% "Ошибка:509"
