root	ppp_form	gana_class_dcs	voice_dcs	corpus_occurrences
lū	lūna	8	P.	49
āsāday	āsādita	10	Ā	49
niryā	niryāta	2	P.	49
niṣic	niṣikta	6	Ā	49
samādis	samādiṣṭa	6	Ā	49
niṣṭhā	niṣṭhita	1	P.	49
kṣud	kṣuṇṇa	1	Ā	48
diś	diṣṭa	6	Ā	48
dhāray	dhārita	10	Ā	48
nah	naddha	1	P.	48
kutsay	kutsita	0	Ā	48
śrāvay	śrāvita	10	Ā	48
parikṣi	parikṣīṇa	5	P.	48
pratibandh	pratibaddha	9	P.	48
vidāray	vidārita	10	Ā	48
saṁvṛdh	saṃvṛddha	1	Ā	48
saṁśudh	saṃśuddha	4	P.	48
saṁnipat	saṃnipatita	1	P.	48
as	asta	4	Ā	47
jū	jūta	1	Ā	47
sphur	sphurita	6	Ā	47
dīkṣ	dīkṣita	1	Ā	47
avarudh	avaruddha	7	Ā	47
āvarjay	āvarjita	10	P.	47
prakāśay	prakāśita	10	Ā	47
prayojay	prayojita	10	P.	47
vivṛt	vivṛtta	1	Ā	47
bodhay	bodhita	10	Ā	46
abhyarc	abhyarcita	1	P.	46
khaṇḍay	khaṇḍita	0	P.	46
upalip	upalipta	6	P.	46
parivarjay	parivarjita	10	Ā	46
saṁgrah	saṃgṛhīta	6	P.	46
samāpad	samāpanna	4	P.	46
vimiśray	vimiśrita	0	P.	46
abhyudyam	abhyudyata	1	P.	46
abhinand	abhinandita	1	Ā	45
avadhū	avadhūta	5	Ā	45
āp￞	āpūrṇa	4	P.	45
āvṛt	āvṛtta	1	Ā	45
nigad	nigadita	1	Ā	45
niyojay	niyojita	10	Ā	45
prabhā	prabhāta	2	P.	45
vibandh	vibaddha	9	Ā	45
viram	virata	1	P.	45
saṁrudh	saṃruddha	7	P.	45
ājñapay	ājñapta	10	P.	45
dvaṁdvay	dvaṃdvita	0	Ā	45
cak	cakita	1	P.	44
pṛ	pūrita	9	Ā	44
bhaj	bhakta	1	Ā	44
avabhāsay	avabhāsita	10	P.	44
ekībhū	ekībhūta	1	P.	44
tirodhā	tirohita	1	P.	44
kopay	kopita	10	Ā	44
bhasmībhū	bhasmībhūta	1	P.	44
vaśīkṛ	vaśīkṛta	8	Ā	44
parinirvṛ	parinirvṛta	5	Ā	44
nici	nicita	3	P.	44
adhivas	adhyuṣita	1	P.	43
śī	śayita	1	Ā	43
ābandh	ābaddha	9	Ā	43
udbhram	udbhrānta	4	P.	43
pariśudh	pariśuddha	4	P.	43
sambhid	saṃbhinna	7	P.	43
jap	japta	4	Ā	42
apahan	apahata	2	Ā	42
abhiniviś	abhiniviṣṭa	6	Ā	42
ruj	rugṇa	6	Ā	42
abhyarthay	abhyarthita	0	Ā	42
ātan	ātata	8	Ā	42
udvṛt	udvṛtta	1	Ā	42
pratiśru	pratiśruta	5	P.	42
viṣañj	viṣakta	1	Ā	42
pracal	pracalita	1	P.	42
saṁghuṣ	saṃghuṣṭa	1	Ā	42
pratisaṁyuj	pratisaṃyukta	7	Ā	42
saṁśā	saṃśita	3	Ā	42
arc	arcita	1	Ā	41
jīv	jīvita	1	Ā	41
anuyā	anuyāta	2	Ā	41
dhṛṣ	dhṛṣṭa	1	Ā	41
ruṣ	ruṣṭa	6	P.	41
vāñch	vāñchita	1	Ā	41
harṣay	harṣita	10	Ā	41
abhyupe	abhyupeta	2	P.	41
jvaray	jvarita	10	P.	41
avadhā	avahita	3	Ā	41
avalip	avalipta	6	P.	41
avasā	avasita	6	P.	41
āpat	āpatita	1	Ā	41
parikliś	parikliṣṭa	9	P.	41
pralī	pralīna	4	P.	41
vyapagam	vyapagata	1	P.	41
glā	glāna	4	Ā	40
skand	skanna	1	Ā	40
dāray	dārita	10	Ā	40
dīpay	dīpita	10	Ā	40
bhojay	bhojita	10	Ā	40
nināday	ninādita	10	P.	40
pratiṣṭhāpay	pratiṣṭhāpita	10	Ā	40
saṁkuñc	saṃkucita	6	P.	40
mudray	mudrita	0	P.	40
upabṛṁhay	upabṛṃhita	10	P.	40
āpyāyay	āpyāyita	10	Ā	40
abhijan	abhijāta	4	P.	40
parivṛt	parivṛtta	1	Ā	40
apakṛṣ	apakṛṣṭa	1	Ā	39
abhigam	abhigata	1	Ā	39
abhiprasad	abhiprasanna	1	P.	39
ruṣ	ruṣita	6	P.	39
lajj	lajjita	1	P.	39
tāray	tārita	10	Ā	39
avalokay	avalokita	10	Ā	39
ādham	ādhmāta	4	P.	39
āve	ota	4	P.	39
āśvāsay	āśvāsita	10	Ā	39
paribhū	paribhūta	1	Ā	39
pralip	pralipta	6	P.	39
prasāday	prasādita	10	Ā	39
viplu	vipluta	1	Ā	39
samatikram	samatikrānta	6	P.	39
samuddhṛ	samuddhṛta	2	P.	39
sammuh	saṃmūḍha	4	P.	39
viprakṛ	viprakīrṇa	6	Ā	39
anubandh	anubaddha	9	P.	38
lul	lulita	1	P.	38
āvyadh	āviddha	4	Ā	38
dhūpay	dhūpita	0	P.	38
cihnay	cihnita	0	P.	38
nimīlay	nimīlita	10	Ā	38
nirdhū	nirdhūta	5	Ā	38
prakāś	prakāśita	1	P.	38
prakṣālay	prakṣālita	10	Ā	38
vināśay	vināśita	10	Ā	38
samānī	samānīta	1	Ā	38
kṣapay	kṣapita	10	Ā	38
i	ita	5	Ā	37
bādh	bādhita	1	P.	37
anuvyadh	anuviddha	4	P.	37
parāmṛś	parāmṛṣṭa	6	P.	37
praṇud	praṇunna	6	Ā	37
prastu	prastuta	6	Ā	37
prāpay	prāpita	10	Ā	37
vigal	vigalita	1	P.	37
vidhṛ	vidhṛta	1	P.	37
vinam	vinata	1	Ā	37
vimarday	vimardita	10	P.	37
vivardhay	vivardhita	10	P.	37
śabday	śabdita	0	P.	37
nirjan	nirjāta	4	Ā	37
kram	krānta	4	P.	36
laṅghay	laṅghita	10	Ā	36
apayā	apayāta	2	Ā	36
aparādh	aparāddha	4	Ā	36
mūrch	mūrchita	1	Ā	36
avanah	avanaddha	4	P.	36
āyas	āyasta	4	P.	36
lālay	lālita	10	P.	36
nikṛ	nikṛta	8	Ā	36
prave	prota	4	P.	36
prāvṛ	prāvṛta	5	P.	36
vidhū	vidhūta	6	P.	36
vyādā	vyādita	3	P.	36
saṁhṛ	saṃhṛta	1	Ā	36
sammūrch	saṃmūrchita	1	P.	36
mokṣay	mokṣita	10	Ā	36
īkṣ	īkṣita	4	P.	35
kṣālay	kṣālita	10	Ā	35
anupraviś	anupraviṣṭa	6	Ā	35
apakṛ	apakṛta	8	Ā	35
abhyudi	abhyudita	2	P.	35
parirakṣ	parirakṣita	1	Ā	35
pariveṣṭay	pariveṣṭita	10	P.	35
prakṣi	prakṣīṇa	5	P.	35
pratilabh	pratilabdha	1	Ā	35
vinirdiś	vinirdiṣṭa	6	P.	35
saṁkalpay	saṃkalpita	10	Ā	35
samanujñā	samanujñāta	9	P.	35
samukṣ	samukṣita	6	Ā	35
sampūjay	sampūjita	10	Ā	35
sampravṛt	sampravṛtta	1	Ā	35
kṣubh	kṣubdha	1	Ā	34
vap	upta	1	Ā	34
gaṇay	gaṇita	10	Ā	34
dharṣay	dharṣita	10	P.	34
abhipīḍay	abhipīḍita	10	P.	34
abhyāhan	abhyāhata	4	Ā	34
nimantray	nimantrita	0	Ā	34
paribhāvay	paribhāvita	10	P.	34
pariṣic	pariṣikta	6	Ā	34
pariṣvaj	pariṣvakta	1	P.	34
pramuc	pramukta	6	Ā	34
vyavadhā	vyavahita	3	Ā	34
vyāvṛt	vyāvṛtta	1	Ā	34
saṁsic	saṃsikta	6	P.	34
samāci	samācita	5	Ā	34
sampṛc	saṃpṛkta	7	Ā	34
bhasmīkṛ	bhasmīkṛta	8	Ā	34
pariniṣṭhā	pariniṣṭhita	1	P.	34
vāpay	vāpita	10	Ā	34
jakṣ	jagdha	1	P.	33
vartay	vartita	10	Ā	33
hvā	hūta	1	P.	33
avatāray	avatārita	10	P.	33
āvartay	āvartita	10	Ā	33
utkṣip	utkṣipta	6	P.	33
upasaṁdhā	upasaṃhita	3	P.	33
prakalpay	prakalpita	10	P.	33
prokṣ	prokṣita	6	Ā	33
vikas	vikasita	1	P.	33
vyatikram	vyatikrānta	1	P.	33
trāsay	trāsita	10	Ā	32
abhivyañj	abhivyakta	7	P.	32
ācchāday	ācchādita	10	Ā	32
āliṅgay	āliṅgita	10	P.	32
unmath	unmathita	9	P.	32
upahṛ	upahṛta	2	P.	32
pariṇāmay	pariṇāmita	10	P.	32
vikrī	vikrīta	1	P.	32
viniści	viniścita	3	P.	32
vibhram	vibhrānta	4	Ā	32
viśrambh	visrabdha	1	Ā	32
saṁvardhay	saṃvardhita	10	P.	32
saṁtyaj	saṃtyakta	1	Ā	32
saṁnivṛt	saṃnivṛtta	1	Ā	32
cikīrṣ	cikīrṣita	0	Ā	32
abhyudgam	abhyudgata	1	P.	32
abhisaṁbudh	abhisaṃbuddha	4	Ā	32
vivas	vyuṣṭa	1	P.	32
iṣay	iṣita	10	Ā	31
anuyuj	anuyukta	7	Ā	31
smi	smita	1	P.	31
avasad	avasanna	2	P.	31
avasic	avasikta	6	P.	31
nirṇī	nirṇīta	1	Ā	31
vibhāvay	vibhāvita	10	Ā	31
saṁkram	saṃkrānta	6	P.	31
jugups	jugupsita	0	P.	31
samupāśri	samupāśrita	1	P.	31
śītībhū	śītībhūta	1	Ā	31
gurukṛ	gurukṛta	8	P.	31
apasṛ	apasṛta	1	P.	30
apās	apāsta	2	P.	30
yudh	yuddha	2	P.	30
val	valita	1	Ā	30
āñc	āñcita	1	P.	30
āmuc	āmukta	6	Ā	30
āśvas	āśvasta	2	Ā	30
utpat	utpatita	1	Ā	30
upakalpay	upakalpita	10	Ā	30
upasaṁpad	upasaṃpanna	4	Ā	30
bṛṁhay	bṛṃhita	10	Ā	30
upāvṛt	upāvṛtta	1	Ā	30
upās	upāsita	4	P.	30
paridṛś	paridṛṣṭa	6	P.	30
paribhuj	paribhukta	7	P.	30
praṇaś	praṇaṣṭa	4	Ā	30
saṁśliṣ	saṃśliṣṭa	4	P.	30
saṁnyas	saṃnyasta	1	Ā	30
samatī	samatīta	2	P.	30
sampravac	samprokta	3	Ā	30
recay	recita	10	P.	29
apidhā	apihita	3	P.	29
abhikrudh	abhikruddha	4	P.	29
abhinirvṛt	abhinirvṛtta	1	Ā	29
avajñā	avajñāta	9	Ā	29
ābhṛ	ābhṛta	3	Ā	29
unmīl	unmīlita	1	P.	29
vibhraṁś	vibhraṣṭa	4	P.	29
vihṛ	vihṛta	1	Ā	29
vyāpad	vyāpanna	4	Ā	29
saṁyat	saṃyatta	1	Ā	29
vid	vitta	6	Ā	29
carcay	carcita	10	Ā	28
chāday	chādita	10	Ā	28
has	hasita	1	Ā	28
hṛṣ	hṛṣita	1	P.	28
hiṁs	hiṃsita	7	Ā	28
uttap	uttapta	1	P.	28
utsic	utsikta	6	P.	28
upaguh	upagūḍha	1	Ā	28
nikhan	nikhāta	2	P.	28
nivartay	nivartita	10	Ā	28
niṣūday	niṣūdita	10	P.	28
añcay	añcita	10	P.	28
prakṛṣ	prakṛṣṭa	6	P.	28
pradhāv	pradhāvita	1	Ā	28
pravrājay	pravrājita	10	Ā	28
prasru	prasruta	1	Ā	28
vipācay	vipācita	10	P.	28
vilip	vilipta	6	P.	28
saṁyu	saṃyuta	3	P.	28
saṁcoday	saṃcodita	10	Ā	28
samāvṛt	samāvṛtta	3	P.	28
samāhvā	samāhūta	4	Ā	28
niṣkāsay	niṣkāsita	10	P.	28
saṁprakīrtay	saṃprakīrtita	10	P.	28
namay	namita	10	P.	28
adhivāsay	adhivāsita	10	P.	28
gṛdh	gṛddha	4	Ā	27
anunī	anunīta	1	Ā	27
anumoday	anumodita	10	P.	27
rā	rāta	3	Ā	27
bhuj	bhugna	6	P.	27
avacchid	avacchinna	7	P.	27
avasañj	avasakta	1	Ā	27
utthāpay	utthāpita	10	Ā	27
upakram	upakrānta	1	Ā	27
parāvṛt	parāvṛtta	1	Ā	27
paryavasthā	paryavasthita	1	Ā	27
prahan	prahata	2	Ā	27
vijñāpay	vijñāpita	10	Ā	27
vidviṣ	vidviṣṭa	6	Ā	27
vinikṣip	vinikṣipta	6	P.	27
viśoṣay	viśoṣita	10	Ā	27
vyavasthāpay	vyavasthāpita	10	P.	27
vyas	vyasta	4	P.	27
saṁchid	saṃchinna	7	P.	27
samudīray	samudīrita	10	P.	27
samudgam	samudgata	1	P.	27
ācchad	ācchanna	1	P.	27
kath	kathita	4	Ā	26
vṛj	vṛkta	7	Ā	26
ruc	rucita	1	P.	26
dṛ	dīrṇa	9	P.	26
anuvṛt	anuvṛtta	1	Ā	26
avagam	avagata	6	P.	26
upaśam	upaśānta	4	Ā	26
tiraskṛ	tiraskṛta	8	P.	26
nāśay	nāśita	10	Ā	26
nirīkṣ	nirīkṣita	1	P.	26
nilī	nilīna	1	Ā	26
parijñā	parijñāta	9	Ā	26
parivartay	parivartita	10	Ā	26
pariśru	pariśruta	5	P.	26
paryas	paryasta	4	Ā	26
pradā	pradatta	3	Ā	26
pravyadh	praviddha	4	Ā	26
prārabh	prārabdha	1	Ā	26
vijṛmbh	vijṛmbhita	1	P.	26
vipralabh	vipralabdha	1	Ā	26
visraṁs	visrasta	1	P.	26
samunnam	samunnata	1	P.	26
sampāday	sampādita	10	Ā	26
virah	virahita	1	P.	26
pāvay	pāvita	10	Ā	26
saṁsvap	saṃsupta	2	P.	26
vivāsay	vivāsita	10	Ā	26
paripālay	paripālita	10	Ā	26
dhmāpay	dhmāpita	10	Ā	25
anuvarṇay	anuvarṇita	0	P.	25
apāvṛ	apāvṛta	5	P.	25
bhaṇ	bhaṇita	1	Ā	25
avalamb	avalambita	1	P.	25
mīlay	mīlita	10	Ā	25
upanam	upanata	1	Ā	25
nidarśay	nidarśita	10	Ā	25
pradru	pradruta	1	Ā	25
pranṛt	pranṛtta	4	P.	25
samabhidru	samabhidruta	1	P.	25
āpūray	āpūrita	10	Ā	25
samudānī	samudānīta	1	Ā	25
abhigup	abhigupta	1	P.	25
anvāyat	anvāyatta	1	Ā	25
karṣay	karṣita	10	P.	24
khād	khādita	1	Ā	24
ghaṭ	ghaṭita	1	Ā	24
aṅgīkṛ	aṅgīkṛta	8	Ā	24
anvārabh	anvārabdha	1	Ā	24
abhyupagam	abhyupagata	1	Ā	24
uccāray	uccārita	10	Ā	24
utkram	utkrānta	6	P.	24
nirṇij	nirṇikta	2	Ā	24
niṣpiṣ	niṣpiṣṭa	6	P.	24
paricchid	paricchinna	7	P.	24
paribhāṣ	paribhāṣita	1	P.	24
praklid	praklinna	4	Ā	24
prativac	pratyukta	3	Ā	24
prasthāpay	prasthāpita	10	P.	24
vikṛṣ	vikṛṣṭa	6	P.	24
vicāray	vicārita	10	Ā	24
vicūrṇay	vicūrṇita	0	P.	24
vinirji	vinirjita	1	P.	24
vibudh	vibuddha	4	P.	24
vilamb	vilambita	1	P.	24
vyāpāday	vyāpādita	10	P.	24
samārabh	samārabdha	1	P.	24
sammṛj	saṃmṛṣṭa	6	Ā	24
vijñapay	vijñapta	10	P.	24
gopay	gopita	10	Ā	24
bharjay	bharjita	10	P.	24
iṣ	iṣita	6	P.	23
īḍ	īḍita	2	P.	23
vṛṣ	vṛṣṭa	6	P.	23
āghrā	āghrāta	4	P.	23
āsev	āsevita	1	Ā	23
pariṇī	pariṇīta	2	P.	23
vidarśay	vidarśita	10	Ā	23
viniṣkram	viniṣkrānta	6	P.	23
vimānay	vimānita	10	P.	23
vilup	vilupta	6	Ā	23
viśaṅk	viśaṅkita	1	Ā	23
viṣṭambh	viṣṭabdha	9	Ā	23
vīkṣ	vīkṣita	4	P.	23
saṁdaṁś	saṃdaṣṭa	1	P.	23
saṁdiś	saṃdiṣṭa	6	Ā	23
saṁnirudh	saṃniruddha	7	Ā	23
samāśvas	samāśvasta	2	Ā	23
samplu	saṃpluta	1	P.	23
āśay	āśita	10	P.	23
vivakṣ	vivakṣita	0	Ā	23
ārocay	ārocita	10	Ā	23
sāday	sādita	10	Ā	22
antarbhū	antarbhūta	1	P.	22
abhiplu	abhipluta	1	Ā	22
utkliś	utkliṣṭa	9	P.	22
udghāṭay	udghāṭita	10	P.	22
upabhuj	upabhukta	1	P.	22
upavarṇay	upavarṇita	0	P.	22
upāp	upāpta	5	Ā	22
paryupasthā	paryupasthita	1	P.	22
pratikṛ	pratikṛta	8	Ā	22
pratyāsad	pratyāsanna	1	P.	22
pradih	pradigdha	6	P.	22
vitṛ	vitīrṇa	1	Ā	22
vinidhā	vinihita	3	P.	22
vinirbhid	vinirbhinna	7	P.	22
vilag	vilagna	1	P.	22
visṛ	visṛta	3	Ā	22
vyāyam	vyāyata	1	Ā	22
saṁlī	saṃlīna	4	Ā	22
sami	samita	2	Ā	22
samuddhū	samuddhūta	5	P.	22
vyañj	vyakta	7	P.	22
saṁprakāśay	saṃprakāśita	10	Ā	22
abhipariplu	abhiparipluta	1	Ā	22
sthagay	sthagita	0	Ā	22
parici	paricita	3	P.	22
cumb	cumbita	1	Ā	21
pāyay	pāyita	10	Ā	21
edh	edhita	1	P.	21
anukīrtay	anukīrtita	10	P.	21
stṛ	stīrṇa	5	Ā	21
khyāpay	khyāpita	10	Ā	21
deśay	deśita	10	Ā	21
abhivad	abhyudita	1	Ā	21
sūday	sūdita	10	Ā	21
avaman	avamata	4	P.	21
ākuñcay	ākuñcita	10	P.	21
ājñāpay	ājñāpita	10	Ā	21
āveday	āvedita	10	Ā	21
udgā	udgīta	4	Ā	21
udbhid	udbhinna	7	Ā	21
mocay	mocita	10	Ā	21
upanimantray	upanimantrita	0	Ā	21
uparudh	uparuddha	1	Ā	21
ekīkṛ	ekīkṛta	8	P.	21
paritoṣay	paritoṣita	10	P.	21
paripīḍay	paripīḍita	10	P.	21
parisru	parisruta	1	P.	21
pratan	pratata	8	Ā	21
pratisaṁskṛ	pratisaṃskṛta	8	P.	21
pramṛj	pramṛṣṭa	2	Ā	21
vikalpay	vikalpita	10	P.	21
viprakṛ	viprakṛta	8	Ā	21
vipramuc	vipramukta	6	Ā	21
saṁviś	saṃviṣṭa	6	Ā	21
saṁśam	saṃśānta	4	P.	21
samāsañj	samāsakta	1	Ā	21
vicyu	vicyuta	1	P.	21
ādih	ādigdha	6	P.	21
roṣay	roṣita	10	Ā	21
adhivah	adhyūḍha	4	P.	21
kuṭṭay	kuṭṭita	10	Ā	20
gras	grasita	1	Ā	20
takṣ	taṣṭa	1	P.	20
adhyās	adhyāsita	2	P.	20
hi	hita	5	Ā	20
sah	soḍha	1	P.	20
sāntvay	sāntvita	0	Ā	20
avacūrṇay	avacūrṇita	0	P.	20
pāṭay	pāṭita	10	Ā	20
bhraṁś	bhṛṣṭa	1	P.	20
ānah	ānaddha	4	P.	20
āviṣkṛ	āviṣkṛta	8	Ā	20
āstṛ	āstṛta	5	P.	20
upakṛ	upakṛta	8	Ā	20
pratibodhay	pratibodhita	10	Ā	20
pratisāray	pratisārita	10	P.	20
pradā	pratta	3	Ā	20
prahas	prahasita	1	Ā	20
praharṣay	praharṣita	10	P.	20
viprayuj	viprayukta	7	P.	20
viprahā	viprahīṇa	3	P.	20
viruh	virūḍha	1	Ā	20
vyatiṣañj	vyatiṣakta	1	P.	20
samākram	samākrānta	1	P.	20
sampravartay	sampravartita	10	P.	20
abhivāday	abhivādita	10	Ā	20
śīlay	śīlita	0	Ā	20
śamay	śamita	10	Ā	20
parikṣan	parikṣata	8	P.	20
viriṣ	viriṣṭa	4	P.	20
saṁpreṣay	saṃpreṣita	10	P.	20
saṁlag	saṃlagna	1	P.	20
pratipṛ	pratipūrṇa	9	P.	20
āvij	āvigna	6	Ā	20
saṁśī	saṃśayita	2	Ā	20
anucar	anucarita	1	Ā	19
avekṣ	avekṣita	1	P.	19
abhicoday	abhicodita	10	P.	19
avakram	avakrānta	1	P.	19
ghaṭṭay	ghaṭṭita	10	P.	19
tulay	tulita	10	Ā	19
avabandh	avabaddha	9	P.	19
āmnā	āmnāta	1	P.	19
udgṛ	udgīrṇa	9	P.	19
upanyas	upanyasta	4	P.	19
kalkīkṛ	kalkīkṛta	8	P.	19
pradharṣay	pradharṣita	10	P.	19
prabodhay	prabodhita	10	Ā	19
vināday	vinādita	10	P.	19
viśodhay	viśodhita	10	Ā	19
viśliṣ	viśliṣṭa	4	P.	19
saṁkliś	saṃkliṣṭa	9	P.	19
saṁtāpay	saṃtāpita	10	P.	19
saṁniṣad	saṃniṣaṇṇa	1	Ā	19
sammad	saṃmatta	1	P.	19
ādīp	ādīpta	4	Ā	19
abhiṣecay	abhiṣecita	10	Ā	19
utkaṇṭh	utkaṇṭhita	1	Ā	19
nirvāpay	nirvāpita	10	P.	19
paritras	paritrasta	4	P.	19
abhīps	abhīpsita	0	Ā	19
saṁpradīp	saṃpradīpta	4	Ā	19
pinah	pinaddha	4	Ā	19
śvi	śūna	1	Ā	19
anupradā	anupradatta	3	P.	18
bheday	bhedita	10	Ā	18
anumā	anumita	3	P.	18
anusāray	anusārita	10	P.	18
abhijñā	abhijñāta	9	Ā	18
snāpay	snāpita	10	Ā	18
lamb	lambita	1	P.	18
avaguṇṭhay	avaguṇṭhita	10	P.	18
avatan	avatata	8	Ā	18
śeṣay	śeṣita	10	Ā	18
utkhan	utkhāta	1	P.	18
upaskṛ	upaskṛta	8	P.	18
upopaviś	upopaviṣṭa	6	Ā	18
kṣobhay	kṣobhita	10	Ā	18
parivye	parivīta	4	Ā	18
parisaṁkhyā	parisaṃkhyāta	2	P.	18
pratiyā	pratiyāta	2	P.	18
praruh	prarūḍha	6	Ā	18
saṁsmṛ	saṃsmṛta	1	Ā	18
svīkṛ	svīkṛta	8	Ā	18
ghanībhū	ghanībhūta	1	Ā	18
prativiśiṣ	prativiśiṣṭa	7	P.	18
mukhīkṛ	mukhīkṛta	8	Ā	18
vici	vicita	5	Ā	18
grah	gṛbhīta	6	Ā	17
jṛmbh	jṛmbhita	1	P.	17
ativṛt	ativṛtta	1	Ā	17
hāray	hārita	10	Ā	17
plāvay	plāvita	10	Ā	17
anusṛ	anusṛta	1	Ā	17
aparudh	aparuddha	7	P.	17
abhivṛṣ	abhivṛṣṭa	1	Ā	17
abhisaṁskṛ	abhisaṃskṛta	8	P.	17
abhyutthā	abhyutthita	1	P.	17
trā	trāta	2	Ā	17
dal	dalita	1	Ā	17
avaṣṭambh	avaṣṭabdha	9	P.	17
āghūrṇ	āghūrṇita	1	Ā	17
ālabh	ālabdha	1	P.	17
ālokay	ālokita	10	Ā	17
upatap	upatapta	4	Ā	17
upaplu	upapluta	1	P.	17
upasev	upasevita	1	Ā	17
e	eta	2	P.	17
parābhū	parābhūta	1	P.	17
paridīv	paridyūna	1	Ā	17
paripācay	paripācita	10	P.	17
paryupās	paryupāsita	4	P.	17
pratigrah	pratigṛhīta	9	Ā	17
pratipūjay	pratipūjita	10	Ā	17
pradhvaṁs	pradhvasta	1	Ā	17
preṣ	preṣita	4	P.	17
vigāh	vigāḍha	1	P.	17
vicintay	vicintita	10	Ā	17
vitrāsay	vitrāsita	10	P.	17
vyāsañj	vyāsakta	1	P.	17
vyāhan	vyāhata	4	Ā	17
sambhañj	saṃbhagna	7	P.	17
visphāray	visphārita	10	Ā	17
saṁpuṭ	saṃpuṭita	6	P.	17
vyañjay	vyañjita	10	P.	17
nirvāsay	nirvāsita	10	P.	17
atipravṛdh	atipravṛddha	1	P.	17
saṁmānay	saṃmānita	10	P.	17
vilepay	vilepita	10	P.	17
paricyu	paricyuta	1	Ā	17
jarjarīkṛ	jarjarīkṛta	8	P.	17
prabhāvay	prabhāvita	10	Ā	17
abhiviśru	abhiviśruta	5	Ā	17
samudīr	samudīrṇa	2	Ā	17
styai	styāna	1	P.	17
vaṭakīkṛ	vaṭakīkṛta	8	Ā	17
abhiparī	abhiparīta	2	Ā	17
krīḍ	krīḍita	1	Ā	16
guṇṭhay	guṇṭhita	10	Ā	16
sū	sūta	1	Ā	16
śaṁs	śaṃsita	2	Ā	16
sā	sita	6	Ā	16
anusamprāp	anusaṃprāpta	5	Ā	16
avamānay	avamānita	10	P.	16
avalih	avalīḍha	6	P.	16
avasṛj	avasṛṣṭa	6	Ā	16
secay	secita	10	Ā	16
āsphoṭay	āsphoṭita	10	Ā	16
kleśay	kleśita	10	Ā	16
upaspṛś	upaspṛṣṭa	6	Ā	16
kaluṣīkṛ	kaluṣīkṛta	8	P.	16
nirbhartsay	nirbhartsita	10	P.	16
nirhṛ	nirhṛta	1	Ā	16
niṣpīḍay	niṣpīḍita	10	P.	16
parāhan	parāhata	2	P.	16
paritrā	paritrāta	4	P.	16
parimuc	parimukta	6	Ā	16
pratividhā	prativihita	3	Ā	16
pravibhaj	pravibhakta	1	Ā	16
prasādhay	prasādhita	10	Ā	16
vitṛp	vitṛpta	4	Ā	16
viśaṁs	viśasta	1	P.	16
samupe	samupeta	2	P.	16
vaṣaṭkṛ	vaṣaṭkṛta	8	P.	16
avacchad	avacchanna	1	P.	16
bhraṁśay	bhraṃśita	10	Ā	16
anugup	anugupta	1	P.	16
maṇḍalīkṛ	maṇḍalīkṛta	8	Ā	16
niṣkas	niṣkasita	1	P.	16
ghūrṇ	ghūrṇita	1	Ā	15
ghrā	ghrāta	3	Ā	15
rāj	rājita	2	P.	15
cāray	cārita	10	Ā	15
anunāday	anunādita	10	P.	15
māpay	māpita	10	Ā	15
apavarjay	apavarjita	10	P.	15
apavṛt	apavṛtta	1	Ā	15
apekṣ	apekṣita	1	Ā	15
ābhuj	ābhugna	6	P.	15
ālip	ālipta	6	Ā	15
āśliṣ	āśliṣṭa	6	P.	15
utkṛṣ	utkṛṣṭa	1	P.	15
udghuṣ	udghuṣṭa	1	Ā	15
udvah	udūḍha	1	Ā	15
unmuc	unmukta	6	P.	15
upagā	upagīta	4	P.	15
upacar	upacarita	1	Ā	15
upākṛ	upākṛta	8	Ā	15
dāpay	dāpita	10	Ā	15
nirvā	nirvāṇa	2	P.	15
niṣad	niṣatta	1	Ā	15
niṣṭap	niṣṭapta	1	P.	15
paripā	paripīta	1	P.	15
paripracch	paripṛṣṭa	6	Ā	15
pare	pareta	2	P.	15
prajñā	prajñāta	9	Ā	15
pratigam	pratigata	1	Ā	15
pratinivṛt	pratinivṛtta	1	Ā	15
pradah	pradagdha	4	Ā	15
pradīpay	pradīpita	10	P.	15
prabhāṣ	prabhāṣita	1	P.	15
pramath	pramathita	1	Ā	15
vipradru	vipradruta	1	P.	15
viyojay	viyojita	10	Ā	15
vyaparopay	vyaparopita	10	P.	15
saṁsev	saṃsevita	1	Ā	15
saṁtarpay	saṃtarpita	10	Ā	15
saṁdarśay	saṃdarśita	10	P.	15
samudvij	samudvigna	6	Ā	15
saṁlip	saṃlipta	6	P.	15
guṇīkṛ	guṇīkṛta	8	P.	15
asatkṛ	asatkṛta	8	P.	15
vilul	vilulita	1	P.	15
saṁbhāṣay	saṃbhāṣita	10	P.	15
paryāpad	paryāpanna	4	Ā	15
pratiprasrambh	pratiprasrabdha	1	Ā	15
khan	khāta	2	P.	14
viś	viṣṭa	4	P.	14
vāhay	vāhita	10	Ā	14
apadhvaṁs	apadhvasta	1	P.	14
tyājay	tyājita	10	P.	14
abhiprapad	abhiprapanna	4	Ā	14
abhiru	abhiruta	2	P.	14
abhisaṁkrudh	abhisaṃkruddha	4	P.	14
lolay	lolita	10	Ā	14
truṭ	truṭita	4	P.	14
grāhay	grāhita	10	Ā	14
avadhāray	avadhārita	10	Ā	14
ākruś	ākruṣṭa	4	P.	14
āmantray	āmantrita	0	Ā	14
āsic	āsikta	6	P.	14
utkruś	utkruṣṭa	1	Ā	14
utsāday	utsādita	10	Ā	14
udgrah	udgṛhīta	9	Ā	14
upaniṣad	upaniṣaṇṇa	1	P.	14
