"Textname","Author","Subtit","Shorthand","Comment","Publish","Place of publication","Release year","Publishing","Range","Digitizers","LanguageID","Habil Etym TimeSlot","TextCompleted","SubjectID","secondary_literature","NrOfWords"
"""Rasādhyāyaṭīkā"""," "," ","""RAdhyṬ""",1," "," ",0," "," ","""Oliver Hellwig""",1,4,0,56,0,7769
"""Rasahṛdayatantra""","""Govindbhagavatpāda""","""With the commentary called Mudghāvabodhinī of Caturbhuja Miśra""","""RHT""",0," ","""Delhi""",1989,"""Chaukhambha Orientalia"""," ","""O. Hellwig""",1,4,1,56,0,8147
"""Rasakāmadhenu""","""Śrīcūḍāmaṇimiśra"""," ","""RKDh""",0,"""Gulraj Sharma Mishra  Santosh Kumar Sharma""","""Varanasi""",1999,"""Chaukhamba Orientalia""","""Jaikrishnadas Ayurveda Series  76""","""O. Hellwig""",1,5,0,56,0,7894
"""Śāṅkhāyanagṛhyasūtra"""," "," ","""ŚGṛS""",0," "," ",0," "," "," ",1,1,0,18,0,750
"""Śāṅkhāyanāraṇyaka"""," "," ","""ŚāĀr""",0,"""Bhim Dev and A.B. Keith for Adhy. 7-15)""","""Hoshiarpur""",1980," ","""Vishveshvaranand Indological Series  70""","""Martin Joachim Kﾁ￼mmel""",1,1,1,9,0,12701
"""Śāktavijñāna""","""Somānanda"""," ","""ŚāktaVij""",0,"""J.D. Zaidoo""","""Srinagar""",1947,"""Research Department""","""Kashmir Series of Texts and Studies  74""","""Oliver Hellwig""",1,4,1,44,0,427
"""Śārṅgadharasaṃhitā""","""Śārṅgadhara"""," ","""ŚdhSaṃh""",0,"""P.S. Vidyasagar""","""Varanasi""",2000,"""Krishnadas Academy""","""Krishnadas Ayurveda Series  14""","""O. Hellwig""",1,4,0,33,0,5623
"""Śārṅgadharasaṃhitādīpikā""","""Āḍhamalla"""," ","""ŚSDīp""",1," "," ",0," "," "," ",1,4,0,33,0,14764
"""Śatakatraya""","""Bhartṛhari"""," ","""ŚTr""",0," "," ",0," ","""Nitisataka: Chaukhamba Vidya Bhavan edition 1990); Srngarasataka: Vidya Bhavan Sanskrit Granthamala no. 61 1988; Vairagyasataka: Vidya Bhavan Sanskrit Granthamala no. 67 1988""","""Jan K. Brzezinski""",1,3,1,47,0,8688
"""Śatapathabrāhmaṇa"""," ","""The Śatapatha-Brāhmaṇa in the Mādhyandina-Śākhā""","""ŚpBr""",0,"""Weber  Albrecht""","""Berlin""",1849," "," ","""H.S. Ananthanarayana  W. P. Lehman TITUS)""",1,1,0,8,0,3718
"""Śikṣāsamuccaya""","""Śāntideva"""," ","""ŚiSam""",0," "," ",0," "," ","""Mirek Rozehnahl  GRETIL""",1,3,0,58,0,791
,,,,,,,,,,,,,,,,
"""Śivapurāṇa"""," "," ","""ŚivaPur""",0," "," ",0," "," "," ",1,4,0,42,0,827
"""Śivasūtra"""," "," ","""ŚSūtra""",0,"""Madhusudan Kaul Shastri""","""Srinagar""",1925,"""Kashmir Pratap Steam Press"""," ","""Oliver Hellwig""",1,3,1,44,0,297
"""Śivasūtravārtika""","""Varadarāja"""," ","""ŚSūtraV""",1," "," ",0," "," "," ",1,4,0,44,0,5339
"""Śukasaptati"""," "," ","""Śusa""",0," "," ",0," "," ","""Members of the Sansknet project""",1,4,0,48,0,9670
"""Śvetāśvataropaniṣad"""," "," ","""ŚvetāśvUp""",0," "," ",0," "," ","""Input by S. H.  proofread by John Manetta [GRETIL]""",1,2,1,10,0,2100
"""Śyainikaśāstra""","""Rudradeva"""," "," ",0," "," ",0," "," "," ",1,4,1,33,0,5272
"""2. fiktiver Komm. zum Hitopadeśa"""," "," "," ",1," "," ",0," "," "," ",0," ",0," ",0,0
"""A concise history of science in India""","""D.M. Bose  S.N. Sen  B.V. Subbarayappa"""," "," ",0," ","""New Delhi""",1971,"""Indian National Science Academy"""," "," ",0," ",0," ",1,0
"""A history of Indian medical literature  I A""","""G.J. Meulenbeld"""," ","""IndMedLit I A""",0," "," ",0," "," "," ",0," ",0," ",1,0
"""A history of Indian medical literature  II B""","""G.J. Meulenbeld"""," ","""IndMedLit II B""",0," "," ",0," "," "," ",0," ",0," ",1,0
"""A Sanskrit Dictionary of Law and Statescraft""","""Olivelle  Patrick"""," ","""Olivelle 2015 [Law  Statescraft]""",0," ","""Delhi""",2015," "," "," ",0,5,0," ",1,0
"""A survey of Hinduism""","""Klaus K. Klostermaier"""," "," ",0," ","""Albany""",1989,"""State University of New York Press"""," "," ",0," ",0," ",1,0
"""A Vedic Grammar for Students""","""Macdonell  A.A."""," "," ",0," ","""Oxford""",1916,"""Clarendon Press"""," "," ",0,5,0," ",1,0
"""Āśvālāyanaśrautasūtra"""," "," ","""ĀśŚS""",0," "," ",0," ","""Bibliotheca Indica""","""Muneo Tokunaga""",1,1,0," ",0,0
"""Āśvalāyanagṛhyasūtra"""," "," ","""ĀśGS""",0,"""A.F. Stenzler"""," ",1864," ","""Abhandlungen fﾁ￼r die Kunde des Morgenlandes""","""Muneo Tokunaga""",1,1,0,18,0,1088
"""Aṣṭāṅgahṛdayasaṃhitā""","""Vāgbhaṭa"""," ","""AHS""",0," "," ",0," "," "," ",1,3,1,33,0,107404
"""Aṣṭāṅganighaṇṭu""","""Vāhaṭa"""," ","""AṣṭNigh""",0,"""P.V. Sharma""","""Madras""",1973,"""The Kuppuswamy Sastri Research Institute"""," ","""Oliver Hellwig""",1,4,1,49,0,4770
