Лемма	Тип	Класс	Залог	Форма	Лицо	Число	Время/наклонение	Примеры
āsthā	Verb	1	Ā	āsthita			"Past Passive Participle"	"  483"
saṁvṛ	Verb	9	P.	saṃvṛta			"Past Passive Participle"	"  480"
vid	Verb	6	Ā	vidita			"Past Passive Participle"	"  475"
viśudh	Verb	4	P.	viśuddha			"Past Passive Participle"	"  473"
utthā	Verb	1	Ā	utthita			"Past Passive Participle"	"  467"
cyu	Verb	1	P.	cyuta			"Past Passive Participle"	"  465"
pīḍay	Verb	10	Ā	pīḍita			"Past Passive Participle"	"  465"
bhūṣay	Verb	10	Ā	bhūṣita			"Past Passive Participle"	"  463"
śak	Verb	4	P.	śakta			"Past Passive Participle"	"  462"
upapad	Verb	4	P.	upapanna			"Past Passive Participle"	"  452"
pū	Verb	1	P.	pūta			"Past Passive Participle"	"  449"
sṛj	Verb	2	P.	sṛṣṭa			"Past Passive Participle"	"  438"
dham	Verb	1	Ā	dhmāta			"Past Passive Participle"	"  436"
alaṁkṛ	Verb	8	Ā	alaṃkṛta			"Past Passive Participle"	"  436"
śā	Verb	4	P.	śita			"Past Passive Participle"	"  425"
piṣ	Verb	1	P.	piṣṭa			"Past Passive Participle"	"  424"
viśiṣ	Verb	7	P.	viśiṣṭa			"Past Passive Participle"	"  421"
āpad	Verb	4	P.	āpanna			"Past Passive Participle"	"  416"
vṛt	Verb	3	P.	vṛtta			"Past Passive Participle"	"  412"
arday	Verb	10	Ā	ardita			"Past Passive Participle"	"  401"
parivṛ	Verb	5	Ā	parivṛta			"Past Passive Participle"	"  397"
prahṛṣ	Verb	4	Ā	prahṛṣṭa			"Past Passive Participle"	"  396"
samāgam	Verb	6	P.	samāgata			"Past Passive Participle"	"  394"
vikhyā	Verb	2	P.	vikhyāta			"Past Passive Participle"	"  393"
upasthā	Verb	1	Ā	upasthita			"Past Passive Participle"	"  383"
parikīrtay	Verb	10	P.	parikīrtita			"Past Passive Participle"	"  383"
snā	Verb	2	Ā	snāta			"Past Passive Participle"	"  382"
vimuc	Verb	6	Ā	vimukta			"Past Passive Participle"	"  382"
tyaj	Verb	1	Ā	tyakta			"Past Passive Participle"	"  381"
abhidhā	Verb	3	Ā	abhihita			"Past Passive Participle"	"  381"
nirmā	Verb	2	P.	nirmita			"Past Passive Participle"	"  381"
kīrtay	Verb	10	Ā	kīrtita			"Past Passive Participle"	"  379"
vyadh	Verb	4	Ā	viddha			"Past Passive Participle"	"  378"
samman	Verb	8	Ā	saṃmata			"Past Passive Participle"	"  377"
vibhūṣay	Verb	10	P.	vibhūṣita			"Past Passive Participle"	"  366"
ārabh	Verb	1	P.	ārabdha			"Past Passive Participle"	"  361"
kṣip	Verb	6	Ā	kṣipta			"Past Passive Participle"	"  360"
su	Verb	6	P.	suta			"Past Passive Participle"	"  360"
vigam	Verb	6	P.	vigata			"Past Passive Participle"	"  360"
virudh	Verb	7	Ā	viruddha			"Past Passive Participle"	"  358"
udāhṛ	Verb	2	P.	udāhṛta			"Past Passive Participle"	"  356"
īray	Verb	10	Ā	īrita			"Past Passive Participle"	"  355"
ākhyā	Verb	4	P.	ākhyāta			"Past Passive Participle"	"  355"
kup	Verb	4	Ā	kupita			"Past Passive Participle"	"  352"
gup	Verb	1	Ā	gupta			"Past Passive Participle"	"  345"
