Kir, 1: 1;1 1;śriyaḥ kurūṇām adhipasya pālanīṃ prajāsu vṛttiṃ yam ayuṅkta veditum |;
Kir, 1: 1;1 2;sa varṇiliṅgī viditaḥ samāyayau yudhiṣṭhiraṃ dvaitavane vanecaraḥ ||;
Kir, 1: 1;2 1;kṛtapraṇāmasya mahīṃ mahībhuje jitāṃ sapatnena nivedayiṣyataḥ |;
Kir, 1: 1;2 2;na vivyathe tasya mano na hi priyaṃ pravaktum icchanti mṛṣā hitaiṣiṇaḥ ||;
Kir, 1: 1;3 1;dviṣāṃ vighātāya vidhātum icchato rahasy anujñām adhigamya bhūbhṛtaḥ |;
Kir, 1: 1;3 2;sa sauṣṭhavaudāryaviśeṣaśālinīṃ viniścitārthām iti vācam ādadhe ||;
Kir, 1: 1;4 1;kriyāsu yuktair nṛpa cāracakṣuṣo na vañcanīyāḥ prabhavo .nujīvibhiḥ |;
Kir, 1: 1;4 2;ato .rhasi kṣantum asādhu sādhu vā hitaṃ manohāri ca durlabhaṃ vacaḥ ||;
Kir, 1: 1;5 1;sa kiṃsakhā sādhu na śāsti yo .dhipaṃ hitān na yaḥ saṃśṛṇute sa kiṃprabhuḥ |;
Kir, 1: 1;5 2;sadānukūleṣu hi kurvate ratiṃ nṛpeṣv amātyeṣu ca sarvasampadaḥ ||;
Kir, 1: 1;6 1;nisargadurbodham abodhaviklavāḥ kva bhūpatīnāṃ caritaṃ kva jantavaḥ |;
Kir, 1: 1;6 2;tavānubhāvo .yam abodhi yan mayā nigūḍhatattvaṃ nayavartma vidviṣām ||;
Kir, 1: 1;7 1;viśaṅkamāno bhavataḥ parābhavaṃ nṛpāsanastho .pi vanādhivāsinaḥ |;
Kir, 1: 1;7 2;durodaracchadmajitāṃ samīhate nayena jetuṃ jagatīṃ suyodhanaḥ ||;
Kir, 1: 1;8 1;tathāpi jihmaḥ sa bhavajjigīṣayā tanoti śubhraṃ guṇasampadā yaśaḥ |;
Kir, 1: 1;8 2;samunnayan bhūtim anāryasaṃgamād varaṃ virodho .pi samaṃ mahātmabhiḥ ||;
Kir, 1: 1;9 1;kṛtāriṣaḍvargajayena mānavīm agamyarūpāṃ padavīṃ prapitsunā |;
Kir, 1: 1;9 2;vibhajya naktaṃdinam astatandriṇā vitanyate tena nayena pauruṣam ||;
Kir, 1: 1;10 1;sakhīn iva prītiyujo .nujīvinaḥ samānamānān suhṛdaś ca bandhubhiḥ |;
Kir, 1: 1;10 2;sa saṃtataṃ darśayate gatasmayaḥ kṛtādhipatyām iva sādhu bandhutām ||;
Kir, 1: 1;11 1;asaktam ārādhayato yathāyathaṃ vibhajya bhaktyā samapakṣapātayā |;
Kir, 1: 1;11 2;guṇānurāgād iva sakhyam īyivān na bādhate .sya trigaṇaḥ parasparam ||;
Kir, 1: 1;12 1;niratyayaṃ sāma na dānavarjitaṃ na bhūri dānaṃ virahayya satkriyām |;
Kir, 1: 1;12 2;pravartate tasya viśeṣaśālinī guṇānurodhena vinā na satkriyā ||;
Kir, 1: 1;13 1;vasūni vāñchan na vaśī na manyunā svadharma ity eva nivṛttakāraṇaḥ |;
Kir, 1: 1;13 2;gurūpadiṣṭena ripau sute .pi vā nihanti daṇḍena sa dharmaviplavam ||;
Kir, 1: 1;14 1;vidhāya rakṣān paritaḥ paretarān aśaṅkitākāram upaiti śaṅkitaḥ |;
Kir, 1: 1;14 2;kriyāpavargeṣv anujīvisātkṛtāḥ kṛtajñatām asya vadanti sampadaḥ ||;
Kir, 1: 1;15 1;anārataṃ tena padeṣu lambhitā vibhajya samyag viniyogasatkriyām |;
Kir, 1: 1;15 2;phalanty upāyāḥ paribṛṃhitāyatīr upetya saṃgharṣam ivārthasampadaḥ ||;
Kir, 1: 1;16 1;anekarājanyarathāśvasaṃkulaṃ tadīyam āsthānaniketanājiram |;
Kir, 1: 1;16 2;nayaty ayugmacchadagandhir ārdratāṃ bhṛśaṃ nṛpopāyanadantināṃ madaḥ ||;
Kir, 1: 1;17 1;sukhena labhyā dadhataḥ kṛṣīvalair akṛṣṭapacyā iva sasyasampadaḥ |;
Kir, 1: 1;17 2;vitanvati kṣemam adevamātṛkāś cirāya tasmin kuravaś cakāsati ||;
Kir, 1: 1;18 1;mahaujaso mānadhanā dhanārcitā dhanurbhṛtaḥ saṃyati labdhakīrtayaḥ |;
Kir, 1: 1;18 2;na saṃhatās tasya na bhedavṛttayaḥ priyāṇi vāñchanty asubhiḥ samīhitum ||;
Kir, 1: 1;19 1;udārakīrter udayaṃ dayāvataḥ praśāntabādhaṃ diśato .bhirakṣayā |;
Kir, 1: 1;19 2;svayaṃ pradugdhe .sya guṇair upasnutā vasūpamānasya vasūni medinī ||;
Kir, 1: 1;20 1;mahībhujāṃ saccaritaiś caraiḥ kriyāḥ sa veda niḥśeṣam aśeṣitakriyaḥ |;
Kir, 1: 1;20 2;mahodayais tasya hitānubandhibhiḥ pratīyate dhātur ivehitaṃ phalaiḥ ||;
Kir, 1: 1;21 1;na tena sajyaṃ kvacid udyataṃ dhanur na vā kṛtaṃ kopavijihmam ānanam |;
Kir, 1: 1;21 2;guṇānurāgeṇa śirobhir uhyate narādhipair mālyam ivāsya śāsanam ||;
Kir, 1: 1;22 1;sa yauvarājye navayauvanoddhataṃ nidhāya duḥśāsanam iddhaśāsanaḥ |;
Kir, 1: 1;22 2;makheṣv akhinno .numataḥ purodhasā dhinoti havyena hiraṇyaretasam ||;
Kir, 1: 1;23 1;pralīnabhūpālam api sthirāyati praśāsad āvāridhi maṇḍalaṃ bhuvaḥ |;
Kir, 1: 1;23 2;sa cintayaty eva bhiyas tvad eṣyatīr aho durantā balavadvirodhitā ||;
Kir, 1: 1;24 1;kathāprasaṅgena janair udāhṛtād anusmṛtākhaṇḍalasūnuvikramaḥ |;
Kir, 1: 1;24 2;tavābhidhānād vyathate natānanaḥ sa duḥsahān mantrapadād ivoragaḥ ||;
Kir, 1: 1;25 1;tad āśu kartuṃ tvayi jihmam udyate vidhīyatāṃ tatra vidheyam uttaram |;
Kir, 1: 1;25 2;parapraṇītāni vacāṃsi cinvatāṃ pravṛttisārāḥ khalu mādṛśāṃ dhiyaḥ ||;
Kir, 1: 1;26 1;itīrayitvā giram āttasatkriye gate .tha patyau vanasaṃnivāsinām |;
Kir, 1: 1;26 2;praviśya kṛṣṇā sadanaṃ mahībhujā tad ācacakṣe .nujasannidhau vacaḥ ||;
Kir, 1: 1;27 1;niśamya siddhiṃ dviṣatām apākṛtīs tatas tatastyā viniyantum akṣamā |;
Kir, 1: 1;27 2;nṛpasya manyuvyavasāyadīpinīr udājahāra drupadātmajā giraḥ ||;
Kir, 1: 1;28 1;bhavādṛśeṣu pramadājanoditaṃ bhavaty adhikṣepa ivānuśāsanam |;
Kir, 1: 1;28 2;tathāpi vaktuṃ vyavasāyayanti māṃ nirastanārīsamayā durādhayaḥ ||;
Kir, 1: 1;29 1;akhaṇḍam ākhaṇḍalatulyadhāmabhiś ciraṃ dhṛtā bhūpatibhiḥ svavaṃśajaiḥ |;
Kir, 1: 1;29 2;tvayā svahastena mahī madacyutā mataṅgajena srag ivāpavarjitā ||;
Kir, 1: 1;30 1;vrajanti te mūḍhadhiyaḥ parābhavaṃ bhavanti māyāviṣu ye na māyinaḥ |;"Śukasaptati" Śusa, 21: 21 6 2;vrajanti te mūḍhadhiyaḥ parābhavaṃ bhavanti māyāviṣu ye na māyinaḥ |;GOOD;;
Kir, 1: 1;30 2;praviśya hi ghnanti śaṭhās tathāvidhān asaṃvṛtāṅgān niśitā iveṣavaḥ ||;"Śukasaptati" Śusa, 21: 21 6 3;praviśya hi ghnanti śaṭhāstathāvidhān asaṃvṛtāṅgān niśitā iveṣavaḥ ||;GOOD;;
Kir, 1: 1;31 1;guṇānuraktām anuraktasādhanaḥ kulābhimānī kulajāṃ narādhipaḥ |;
Kir, 1: 1;31 2;parais tvadanyaḥ ka ivāpahārayen manoramām ātmavadhūm iva śriyam ||;
Kir, 1: 1;32 1;bhavantam etarhi manasvigarhite vivartamānaṃ naradeva vartmani |;
Kir, 1: 1;32 2;kathaṃ na manyur jvalayaty udīritaḥ śamītaruṃ śuṣkam ivāgnir ucchikhaḥ ||;
Kir, 1: 1;33 1;avandhyakopasya nihantur āpadāṃ bhavanti vaśyāḥ svayam eva dehinaḥ |;
Kir, 1: 1;33 2;amarṣaśūnyena janasya jantunā na jātahārdena na vidviṣādaraḥ ||;
Kir, 1: 1;34 1;paribhramaṃl lohitacandanocitaḥ padātir antargiri reṇurūṣitaḥ |;
Kir, 1: 1;34 2;mahārathaḥ satyadhanasya mānasaṃ dunoti te kaccid ayaṃ vṛkodaraḥ ||;
Kir, 1: 1;35 1;vijitya yaḥ prājyam ayacchad uttarān kurūn akupyaṃ vasu vāsavopamaḥ |;
Kir, 1: 1;35 2;sa valkavāsāṃsi tavādhunāharan karoti manyuṃ na kathaṃ dhanaṃjayaḥ ||;
Kir, 1: 1;36 1;vanāntaśayyākaṭhinīkṛtākṛtī kacācitau viṣvag ivāgajau gajau |;
Kir, 1: 1;36 2;kathaṃ tvam etau dhṛtisaṃyamau yamau vilokayann utsahase na bādhitum ||;
Kir, 1: 1;37 1;imām ahaṃ veda na tāvakīṃ dhiyaṃ vicitrarūpāḥ khalu cittavṛttayaḥ |;
Kir, 1: 1;37 2;vicintayantyā bhavadāpadaṃ parāṃ rujanti cetaḥ prasabhaṃ mamādhayaḥ ||;
Kir, 1: 1;38 1;purādhirūḍhaḥ śayanaṃ mahādhanaṃ vibodhyase yaḥ stutigītimaṅgalaiḥ |;
Kir, 1: 1;38 2;adabhradarbhām adhiśayya sa sthalīṃ jahāsi nidrām aśivaiḥ śivārutaiḥ ||;
Kir, 1: 1;39 1;puropanītaṃ nṛpa rāmaṇīyakaṃ dvijātiśeṣeṇa yad etad andhasā |;
Kir, 1: 1;39 2;tad adya te vanyaphalāśinaḥ paraṃ paraiti kārśyaṃ yaśasā samaṃ vapuḥ ||;
Kir, 1: 1;40 1;anārataṃ yau maṇipīṭhaśāyināv arañjayad rājaśiraḥsrajāṃ rajaḥ |;
