AbhidhKoBh zu AbhidhKo, 1, 43.2: 1;1 0;tathā hi dūrād rūpaṃ paśyati akṣisthamañjanaṃ na paśyati ||;
AbhidhKoBh zu AbhidhKo, 1, 43.2: 1;2 0;dūrācchabdaṃ śṛṇoti sati ca prāptaviṣayatve divyaṃ cakṣuḥśrotramiha manuṣyeṣu dhyāyināṃ nopajāyeta ghrāṇādivat ||;
AbhidhKoBh zu AbhidhKo, 1, 43.2: 1;3 0;yadyaprāptaviṣayaṃ cakṣuḥ kasmānna sarvamaprāptaṃ paśyati dūraṃ tiraskṛtaṃ ca kathaṃ tāvadayaskānto na sarvamaprāptam ;
AbhidhKoBh zu AbhidhKo, 1, 43.2: 1;4 0;kasmānna sarvaṃ prāptaṃ paśyatyañjanaṃ śalākāṃ vā ||;
AbhidhKoBh zu AbhidhKo, 1, 43.2: 1;5 0;yathā ca ghrāṇādīnāṃ hi prāpto viṣayo na tu sarvaḥ sahabhūgandhādyagrahaṇād evaṃ cakṣuṣo .pyaprāptaḥ syāt na tu sarvaḥ ||;
AbhidhKoBh zu AbhidhKo, 1, 43.2: 1;6 0;manastvarūpitvāt prāptumevāśaktam ||;
AbhidhKoBh zu AbhidhKo, 1, 43.2: 1;7 0;kecit punaḥ śrotraṃ prāptāprāptaviṣayaṃ manyante karṇābhyantare.pi śabdaśravaṇāt ||;
AbhidhKoBh zu AbhidhKo, 1, 43.2: 1;8 0;śeṣaṃ tu ghrāṇajihvākāyākhyam |;
